cluster_id,cluster_title,file,start_line,end_line,inferred_ch1_principles,direct_ch1_refs,read_with_refs,owner_refs,op_rule_count,op_complete,status
CJS-5.11,Implementation and cross-implementation independent verification and claim-integrity terms,corpus_joint_structure/cjs_05b_00_evidence_audit_claim_integrity.md,133,169,3.2; 3.3; 4; 7.1; 7.2,,**PRIM11 — Independent Verification and Integrity of Claims** | **PRIM9 — Auditability** | **PRIM10 — Tiered Transparency and Audit Access** | Chapter Fourteen and rights-layer protections where material claims shape rights-relevant decisions.,PRIM10; PRIM11; PRIM9,5,yes,weak_trace
CJS-5.12,Implementation and cross-implementation quorum and participatory legitimacy terms,corpus_joint_structure/cjs_05c_00_participation_comprehension_disclosure.md,14,74,2.1; 4; 5.2; 6.4; 8; 10,,"**Implementation Group Four**, including **PROT1 — Distributed and Proportional Authority** and **PROT6 — Procedural Integrity and Adjudication** | **Sentient Constitution Chapter Eleven** section 4 | **Chapter Ten Article IX-C** | **Chapter Ten Article XI**",Article IX-C; Article XI; Article XI-A; Chapter Eleven; Chapter Ten; PROT1; PROT6,10,yes,weak_trace
CJS-5.13,Implementation and cross-implementation comprehensibility and cognitive accessibility terms,corpus_joint_structure/cjs_05c_00_participation_comprehension_disclosure.md,75,128,3.4; 5.2; 7.1; 8,,**PRIM2 — Comprehensibility and Cognitive Accessibility** | `corpus_systems.md` **Protocol B — System Comprehensibility and Complexity Stewardship**,PRIM2; corpus_systems.md,9,yes,weak_trace
CJS-5.14,Implementation and cross-implementation salience integrity and attention-allocation terms,corpus_joint_structure/cjs_05c_00_participation_comprehension_disclosure.md,129,190,2; 3.2; 4; 7.1; 8,,"**PRIM1 — System Status, Risk, and Scope Representation** | **PRIM4 — Transparency and Disclosure** | **PRIM14 — Adversarial Robustness and Abuse Resistance** | **Article XV-A** | **Chapter Ten** incentive-alignment constraints",Article XV-A; Chapter Ten; PRIM1; PRIM14; PRIM4,10,yes,weak_trace
CJS-5.15,Implementation and cross-implementation disclosure sufficiency and observability terms,corpus_joint_structure/cjs_05c_00_participation_comprehension_disclosure.md,191,227,3.2; 6.2; 7.1; 8,,"**PRIM4 — Transparency and Disclosure** | **PRIM5 — Dependency Awareness, Disclosure, and Risk Integrity** where dependencies matter | **Article XV-A** | **Article VII-B**",Article VII-B; Article XV-A; PRIM4; PRIM5,5,yes,weak_trace
CJS-5.16,Implementation and cross-implementation dependency integrity and disclosure terms,corpus_joint_structure/cjs_05d_00_dependency_exit_lifecycle_integrity.md,13,61,3.1; 4.1; 5.1; 7.1; 9,,"**PRIM5 — Dependency Awareness, Disclosure, and Risk Integrity** | **PRIM4 — Transparency and Disclosure** | **PRIM7 — Interoperability, Portability, and Exit Integrity** | **PRIM9 — Auditability** | **PRIM15 — Evolution, Revalidation, and Non-Entrenchment** | `corpus_systems.md` **Protocol A — System Design, Testing, Verification, and Deployment** | **Article XV-A**",Article XV-A; PRIM15; PRIM4; PRIM5; PRIM7; PRIM9; corpus_systems.md,7,yes,weak_trace
CJS-5.17,"Implementation and cross-implementation interoperability, portability, and exit-integrity terms",corpus_joint_structure/cjs_05d_00_dependency_exit_lifecycle_integrity.md,62,126,5.1; 6.1; 7.1; 8; 9,,"**PRIM7 — Interoperability, Portability, and Exit Integrity** | **PRIM5 — Dependency Awareness, Disclosure, and Risk Integrity** | **PRIM4 — Transparency and Disclosure** | `corpus_systems.md` **Chapter S1 — Information Types and Handling** | `corpus_systems.md` **Chapter S2 — System Classification and Handling** | `corpus_systems.md` **Chapter S3 — Critical System Stewardship** | **Article XIX** | **Article XV-A**",Article XIX; Article XV-A; Foundational Rights; PRIM4; PRIM5; PRIM7; corpus_systems.md,10,yes,weak_trace
CJS-5.18,Implementation and cross-implementation data-retention and lifecycle-integrity terms,corpus_joint_structure/cjs_05d_00_dependency_exit_lifecycle_integrity.md,127,191,3.2; 6.2; 7.1; 8; 9,,"**PRIM9 — Auditability** | **PRIM10 — Tiered Transparency and Audit Access** | **PRIM11 — Independent Verification and Integrity of Claims** | **PRIM12 — Reversibility and Containment** | **PRIM15 — Evolution, Revalidation, and Non-Entrenchment** | `corpus_systems.md` **Chapter S1 — Information Types and Handling**, including Types **C**, **G**, **H**, **I**, **N**, and **S** | **CJS-3.5 — Classification alignment for supervised scope**",PRIM10; PRIM11; PRIM12; PRIM15; PRIM9; corpus_systems.md,10,yes,weak_trace
CJS-5.19,Implementation and cross-implementation graceful degradation and failure-mode integrity terms,corpus_joint_structure/cjs_05e_00_failure_robustness_intervention_correction.md,15,72,3.1; 4.1; 5.1; 6.1; 7; 9,,"**PRIM6 — Graceful Degradation and Failure Mode Integrity** | **PRIM1 — System Status, Risk, and Scope Representation** | **PRIM5 — Dependency Awareness, Disclosure, and Risk Integrity** | **PRIM12 — Reversibility and Containment** | **PRIM15 — Evolution, Revalidation, and Non-Entrenchment** | `corpus_systems.md` **Protocol A — System Design, Testing, Verification, and Deployment**",PRIM1; PRIM12; PRIM15; PRIM5; PRIM6; corpus_systems.md,9,yes,weak_trace
CJS-5.20,Implementation and cross-implementation intervention and override integrity terms,corpus_joint_structure/cjs_05e_00_failure_robustness_intervention_correction.md,73,138,3.1; 6.1; 6.4; 7.1; 9,6.4.1,"**PRIM8 — Intervention and Override Rights** | **PRIM6 — Graceful Degradation and Failure Mode Integrity** | **PRIM9 — Auditability** | **PRIM14 — Adversarial Robustness and Abuse Resistance** | **PRIM15 — Evolution, Revalidation, and Non-Entrenchment** | **PROT2 — Intervention and Override Rights** | **Chapter One §6.4.1 — Rights-Collision Decision Test** | **`corpus_forum.md` CF-12 — Forum continuity, fallback operation, and emergency adjudication** | Constitutional hooks in **Articles IX, XII, and XIII**",CF; PRIM14; PRIM15; PRIM6; PRIM8; PRIM9; PROT2; corpus_forum.md,10,yes,complete
CJS-5.21,Implementation and cross-implementation reversibility and containment terms,corpus_joint_structure/cjs_05e_00_failure_robustness_intervention_correction.md,139,176,3.1; 4.1; 6.1; 7.1; 9,,"**PRIM12 — Reversibility and Containment** | **PRIM5 — Dependency Awareness, Disclosure, and Risk Integrity** | **PRIM6 — Graceful Degradation and Failure Mode Integrity** | **PRIM9 — Auditability** | **PRIM10 — Tiered Transparency and Audit Access** | **PRIM11 — Independent Verification and Integrity of Claims**",PRIM10; PRIM11; PRIM12; PRIM5; PRIM6; PRIM9,5,yes,weak_trace
CJS-5.22,Implementation and cross-implementation adversarial robustness and abuse-resistance terms,corpus_joint_structure/cjs_05e_00_failure_robustness_intervention_correction.md,177,259,3.1; 3.2; 4.1; 7.1; 7.2; 9,,"**PRIM14 — Adversarial Robustness and Abuse Resistance** | **PRIM4 — Transparency and Disclosure** | **PRIM5 — Dependency Awareness, Disclosure, and Risk Integrity** | **PRIM6 — Graceful Degradation and Failure Mode Integrity** | **PRIM9 — Auditability** | **PRIM11 — Independent Verification and Integrity of Claims** | **PRIM12 — Reversibility and Containment** | **PRIM15 — Evolution, Revalidation, and Non-Entrenchment** | **PROT1 — Distributed and Proportional Authority** | **PROT4 — Burden of Justification and Constraint** | **PROT5 — Constrained Secrecy and Protected Investigations**",PRIM11; PRIM12; PRIM14; PRIM15; PRIM4; PRIM5; PRIM6; PRIM9; PROT1; PROT4; PROT5,13,yes,weak_trace
CJS-5.23,"Implementation and cross-implementation structural review, correction urgency, and disclosure terms",corpus_joint_structure/cjs_05e_00_failure_robustness_intervention_correction.md,260,304,3.1; 3.2; 4.1; 5.2; 7.1; 7.2,,"**PROT6 — Procedural Integrity and Adjudication** | **PRIM6 — Graceful Degradation and Failure Mode Integrity** | **PRIM12 — Reversibility and Containment** | **PRIM15 — Evolution, Revalidation, and Non-Entrenchment** | **PROT3 — Reflexive Transparency and Accountability** | `corpus_systems.md` **Chapter S1** and **Chapter S2** | Owner-layer-specific monitoring or publication duties.",PRIM12; PRIM15; PRIM6; PROT3; PROT6; corpus_systems.md,6,yes,weak_trace
