article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,owner_refs,status
II-E,"Info-Sphere Dependency, Continuity, and Operator Non-Viability",survival/resources,core_06-06_rights_part_a.md,424,4.1; 10.1; 10.2.4; 11.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,materiality,Avoidable Burden; Productive Capacity; Dependency / Resource Flow,Article I-C; Article II; Article XIX-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; core_06-06_rights_part_c.md; core_09-09_standing_integration.md; corpus_joint_structure.md; corpus_systems.md,complete
III,Survival and Equal Educational Access,survival/resources,core_06-06_rights_part_a.md,474,,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden; Ecological Footprint; Educational Agency,Article I; Article II; Article III; Chapter Five; core_00_preamble.md,weak_trace
III-A,Survival,survival/resources,core_06-06_rights_part_a.md,496,3; 4.1; 5; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,,Avoidable Burden; Ecological Footprint; Dependency / Resource Flow; Timely Resolution,Article XII-B; Article XVIII-B; Article XXIV-C; Article XXVI-D; Chapter Five; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; core_08-08_standing_assessment.md; corpus_institutions.md; corpus_systems.md,complete
III-B,Equal Educational Access,survival/resources,core_06-06_rights_part_a.md,548,3; 4.2; 5; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,participation; accountability,,,Productive Capacity; Ecological Footprint; Substantive Fairness; Accessibility; Educational Agency,Article VI; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_participation.md,complete
III-C,Bodily-Maintenance and Healthcare Access,survival/resources,core_06-06_rights_part_a.md,585,3; 5; 5.1; linked,2; 3.1; 5; 5.1; 6.1; 6.3; 7; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Ecological Footprint; Substantive Fairness,Article III-A; Article V-A; Article V-B; Article VII-A; Article VII-B; Article VII-C; Article XXIII; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md; corpus_institutions.md,complete
III-D,Labor and Economic Floor,survival/resources,core_06-06_rights_part_a.md,632,3; 5; 5.1; 8.16; 9; 10.3; linked,2; 3.1; 4; 5; 5.1; 6.1; 6.3; 7; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight,continuity,,Avoidable Burden; Productive Capacity; Ecological Footprint; Dependency / Resource Flow; Substantive Fairness; Educational Agency; Trustworthiness,Article III-A; Article III-B; Article IX-A; Article IX-B; Article V-A; Article V-B; Article XII-A; Article XIII-A; Article XVIII; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_continuity.md; core_05defs_oversight.md; core_05defs_participation.md; corpus_institutions.md; corpus_systems.md,complete
IV,"Resource Allocation, Dependencies, and Ecosystem Funding",survival/resources,core_06-06_rights_part_a.md,695,,2; 3.1; 3.2; 6.2; 8; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden; Dependency / Resource Flow; Proportionate Cross-System Support,Article IV; Article IV-A; Article IV-B; Chapter Seven; core_00_preamble.md; core_05defs_continuity.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,weak_trace
IV-A,Dependency Mapping and Resource-Flow Transparency,survival/resources,core_06-06_rights_part_a.md,724,4.2; 10; 11.1; linked,3.2; 6.2; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight,flourishing; continuity,,Productive Capacity; Dependency / Resource Flow; Proportionate Cross-System Support,Article IV-A; Article XV-A; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_continuity.md; core_05defs_oversight.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,complete
IV-B,Cross-System Fairness and Sustainability,survival/resources,core_06-06_rights_part_a.md,755,3; 8.20; 10.1; 11.1; 12.1; 14; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,materiality,Avoidable Burden; Productive Capacity; Ecological Footprint; Dependency / Resource Flow; Proportionate Cross-System Support; Substantive Fairness; Timely Resolution,Article IV-A; Article IV-B; Article XXIV-C; Chapter Five; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; core_05defs_participation.md; core_06-06_rights_part_b.md](core_06-06_rights_part_b.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; core_08-11_application_vignettes.md](core_08-11_application_vignettes.md; corpus_systems.md,complete
V,Equal Basic Rights,equality/access,core_06-06_rights_part_b.md,57,linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8,accountability,continuity,materiality,Avoidable Burden; Substantive Fairness; Accessibility,Article V; Article V-B; Article V-G; Article XVIII-B; Chapter Seven; core_01_a_values_principles.md; core_05defs_continuity.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,manual_review
V-A,Dignity and Equal Moral Standing,equality/access,core_06-06_rights_part_b.md,67,3; 5; 8.16; linked,2; 3.1; 5; 5.1; 7; 8,participation,continuity,,Productive Capacity; Substantive Fairness,Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_continuity.md; core_05defs_integrative.md; core_05defs_participation.md,complete
V-B,Nondiscrimination,equality/access,core_06-06_rights_part_b.md,95,5; 6.3; 8.1; 10.1; linked,3.1; 5; 5.1; 6.1; 6.3; 7,participation; accountability,continuity,,Constitutional Efficiency; Avoidable Burden; Ecological Footprint; Substantive Fairness; Accessibility,Article I-A; Article V-B; Chapter Five; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
V-C,Full Inclusion and Equality in Adjudication and Operations,equality/access,core_06-06_rights_part_b.md,144,4.1; 5; 6.3; linked,2; 3.1; 5; 5.1; 6.1; 6.3; 7; 10; 10.2,participation; accountability,,,Constitutional Efficiency; Avoidable Burden; Substantive Fairness,Article V-A; Article V-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_participation.md,complete
V-D,"Freedom of conscience, religion, and comparable worldview",equality/access,core_06-06_rights_part_b.md,178,5; 6.3; 10.1; linked,3.1; 5; 5.1; 6.1; 6.3; 7; 8; 10; 10.2,participation; accountability,,,Avoidable Burden; Ecological Footprint; Substantive Fairness; Accessibility,Article V-B; Article X-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_participation.md,complete
V-E,Sentience-Status Adjudication Floor,equality/access,core_06-06_rights_part_b.md,222,4.2; 8.1.1; 10.1; 10.1.1; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; accountability,continuity,,Avoidable Burden,Article V-A; Article XIII-A; Article XXII; Chapter Eleven; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md; core_11-11_forum.md,complete
V-F,"Developing Sentients, Best-Interest, and Graduated Capability",equality/access,core_06-06_rights_part_b.md,267,4.2; 5; 5.1; 8.1; 8.1.1; 8.16; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation,continuity,,Productive Capacity; Substantive Fairness,Article V-A; Article V-B; Article V-E; Article V-F; Article VII; Article VII-A; Article VII-B; Article VII-D; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_continuity.md; core_05defs_participation.md,complete
V-G,Accessibility,equality/access,core_06-06_rights_part_b.md,329,3; 5; 5.1; 6.3.1; 7.1; 10.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation,,materiality,Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Substantive Fairness; Accessibility; Educational Agency,Article III-A; Article III-B; Article III-C; Article IX-C; Article V-A; Article V-B; Article V-C; Article V-H; Article XI; Article XV; Chapter Five; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_participation.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_institutions.md,complete
V-H,"Expression, Assembly, and Press",equality/access,core_06-06_rights_part_b.md,392,4.2; 5; 5.1; 6.3.1; 7.2.1; 8.1.2; 8.16; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10.2,participation; oversight; accountability,continuity,,Avoidable Burden; Ecological Footprint; Substantive Fairness; Educational Agency,Article IX-A; Article V-A; Article V-B; Article V-D; Article V-H; Article VIII-C; Article X-A; Article XI; Article XIII-A; Article XIV; Article XV-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; core_05defs_participation.md,complete
VI,Right to Sentient-Centered Education,equality/access,core_06-06_rights_part_b.md,445,,2; 3.1; 3.2; 5; 5.1; 6.2; 8,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden; Productive Capacity; Substantive Fairness; Accessibility; Educational Agency,Article III; Article VI; Chapter Five; core_00_preamble.md; core_05defs_accountability.md; core_05defs_participation.md,weak_trace
VI-A,Capability-Building Education Right,equality/access,core_06-06_rights_part_b.md,480,3; 5; 11.1; linked,2; 3.1; 5; 5.1; 9; 9.2; 11; 12; 13,participation; accountability,continuity,,Productive Capacity; Educational Agency,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md,complete
VI-B,Lifelong and Adaptive Learning and Contestability,equality/access,core_06-06_rights_part_b.md,509,4.2; 5; 10; linked,3.2; 5; 5.1; 6.2; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability,,,Productive Capacity; Accessibility; Educational Agency,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_oversight.md; core_05defs_participation.md,complete
VII,Self-Ownership,equality/access,core_06-06_rights_part_b.md,543,,2; 3.1; 3.2; 6.2; 8; 10; 10.2,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden,Article VII; Article VIII; core_00_preamble.md,weak_trace
VII-A,Self-Ownership of Body and Mind,equality/access,core_06-06_rights_part_b.md,564,5; 5.1; 6.3; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 8; 10; 10.2,participation; accountability,continuity,,Avoidable Burden,Article VII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md; corpus_systems.md,complete
VII-B,Internal-State Boundary and Type-N Protection,equality/access,core_06-06_rights_part_b.md,596,4.2; 5; 5.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,participation; accountability,continuity,,Trustworthiness,Article VII-A; Article VII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md; corpus_systems.md,complete
VII-C,Mental-Health Crisis and Involuntary-Intervention Floor,equality/access,core_06-06_rights_part_b.md,631,5; 5.1; 8.1.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,participation; accountability,continuity,,Avoidable Burden; Productive Capacity; Trustworthiness,Article III-C; Article V-F; Article VII-A; Article VII-B; Article VII-D; Article XXIII; Article XXIII-B; Chapter Eleven; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_continuity.md; core_05defs_participation.md; corpus_systems.md,complete
VII-D,"Family, Care Relationships, Reproductive Autonomy, and Non-Separation",equality/access,core_06-06_rights_part_b.md,676,4.2; 5; 5.1; 8.16; 9; 10.1.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation,continuity,,Constitutional Efficiency; Avoidable Burden; Productive Capacity; Ecological Footprint; Dependency / Resource Flow; Substantive Fairness,Article V-A; Article V-B; Article V-E; Article V-F; Article VII-A; Article VII-B; Article VII-D; Article X-A; Article XII-E; Article XII-F; Chapter Eleven; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_continuity.md; core_05defs_participation.md,complete
VII-E,Voluntary Discontinuation of One's Own Existence,equality/access,core_06-06_rights_part_b.md,759,5; 5.1; 8.1.1; 10.1.1; linked,2; 3.1; 5; 5.1; 6.1; 6.3; 7; 11; 12; 13,participation; accountability; timeliness,continuity,,Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Timely Resolution,Article III-A; Article III-C; Article IX-A; Article V-F; Article VII-A; Article VII-B; Article VII-C; Article X-A; Article XXIII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md,complete
VIII,"Likeness, Experiential Data, and Publication Rights",equality/access,core_06-06_rights_part_b.md,816,,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden,Article VII; Article VIII; Article XIV; Chapter Five; core_00_preamble.md,weak_trace
VIII-A,Self-Ownership of Likeness and Reputation,equality/access,core_06-06_rights_part_b.md,837,4.2; 5; 9.2; linked,3.2; 5; 5.1; 6.2; 8; 10; 10.2,oversight; accountability,continuity,,,Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; corpus_systems.md,complete
VIII-B,Experiential and Derived Data Rights,equality/access,core_06-06_rights_part_b.md,876,5; 6.3; 9.2; linked,3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; accountability,continuity,,,Article VIII-C; Chapter One; core_01_a_values_principles.md; core_05defs_continuity.md; core_05defs_participation.md; corpus_systems.md,complete
VIII-C,Truthful Publication and High-Impact Publication Limits,equality/access,core_06-06_rights_part_b.md,922,4.2; 9.2; 11.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,oversight; accountability,continuity,,Productive Capacity,Article VIII-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; corpus_systems.md,complete
VIII-D,"Creative Work, Training-Data Use, and Anti-Displacement",equality/access,core_06-06_rights_part_b.md,967,4.2; 5; 6.1.2; 6.3.1; 8.16; 9; 10; 11.1; 11.3; 13.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Constitutional Efficiency; Avoidable Burden; Productive Capacity; Ecological Footprint,Article III-D; Article VIII-A; Article VIII-B; Article VIII-C; Article VIII-D; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_integrative.md; core_05defs_participation.md; corpus_systems.md,complete
IX,Self-Determination and Agency,agency/participation,core_06-06_rights_part_b.md,1021,,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden,Article IX; Article VII; Article XI; Chapter Five; Chapter One; core_00_preamble.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; core_05defs_participation.md,weak_trace
IX-A,Agency and Freedom from Manipulation,agency/participation,core_06-06_rights_part_b.md,1055,5; 5.1; 10; linked,2; 3.1; 4; 5; 5.1; 6.1; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Avoidable Burden; Productive Capacity,Article IX-B; Article VII-A; Article X-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_participation.md,complete
IX-B,Stakeholder Role and Participation Rights,agency/participation,core_06-06_rights_part_b.md,1086,5; 6.3; 11.1; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10.2; 11; 12; 13,participation; accountability,,material impact,Productive Capacity; Ecological Footprint; Dependency / Resource Flow; Educational Agency,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_participation.md,complete
IX-C,Governance Participation and Voting Entitlement,agency/participation,core_06-06_rights_part_b.md,1131,5; 6.3; 8.1; 13; linked,3.2; 5; 5.1; 6.1; 6.2; 6.3; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,,,Productive Capacity; Substantive Fairness,Article V-B; Article XVIII-A; Article XVIII-C; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_participation.md,complete
IX-D,Inclusion and Exclusion Challenge Rights,agency/participation,core_06-06_rights_part_b.md,1162,5; 6.3; 13; linked,3.2; 5; 5.1; 6.1; 6.2; 6.3; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,,material impact,Productive Capacity,Article XVIII; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_participation.md; corpus_systems.md,complete
X,Cooperative Interaction,agency/participation,core_06-06_rights_part_b.md,1190,,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Avoidable Burden; Ecological Footprint,Article X; Chapter Five; core_00_preamble.md; core_05defs_accountability.md; core_05defs_participation.md,weak_trace
X-A,Non-Imposition and Consent in Association,agency/participation,core_06-06_rights_part_b.md,1222,5; 5.1; 10.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2; 11; 12; 13,participation; accountability,,materiality,Avoidable Burden; Dependency / Resource Flow; Educational Agency,Article V-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_participation.md,complete
X-B,Collective Harm Boundary and Enforcement Interface,agency/participation,core_06-06_rights_part_b.md,1260,4.1; 5.1; 9; 10.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 11; 12; 13,participation; oversight; accountability,continuity,materiality; material impact,Ecological Footprint; Dependency / Resource Flow; Substantive Fairness; Educational Agency,Article I-A; Article III-A; Article III-B; Article III-D; Article IX-A; Article V-A; Article V-B; Article X-A; Article XIV; Article XV-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_oversight.md; core_05defs_participation.md,complete
X-C,Adult consensual commercial sexual services and sexual exploitation,agency/participation,core_06-06_rights_part_b.md,1304,4.1; 6.3; 10.1; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 11; 12; 13,participation,,materiality,Productive Capacity; Dependency / Resource Flow; Substantive Fairness,Article V-B; Article V-C; Article X-C; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05defs_participation.md; corpus_institutions.md; corpus_systems.md,complete
XI,"Stakeholder System Participation, Representation, and Due Process",agency/participation,core_06-06_rights_part_b.md,1363,8.1,3.2; 5; 5.1; 6.1; 6.2; 6.3; 8; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake; material impact,Avoidable Burden; Dependency / Resource Flow; Accessibility,Article IX-B; Article IX-C; Article IX-D; Article XI; Article XVIII; Chapter Five; Chapter One; core_00_preamble.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_integrative.md; core_05defs_oversight.md; core_05defs_participation.md,manual_review
XI-A,Stakeholder System Participation and Representation,agency/participation,core_06-06_rights_part_b.md,1403,4.2; 5; 11.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,,material stake,Productive Capacity; Dependency / Resource Flow; Accessibility,Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_participation.md,complete
XI-B,Weighted Participation Constraints,agency/participation,core_06-06_rights_part_b.md,1434,5; 8.1; 10; 11.1; linked,3.2; 5; 5.1; 6.2; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Productive Capacity; Dependency / Resource Flow,Article IX-C; Chapter One; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_continuity.md; core_05defs_integrative.md; core_05defs_participation.md,complete
XI-C,Legitimacy Gate and Anti-Token Participation,agency/participation,core_06-06_rights_part_b.md,1466,4.2; 5; 13; linked,3.2; 5; 5.1; 6.2; 8; 9; 9.2; 11; 12; 13,participation; accountability,,,Productive Capacity; Accessibility,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_participation.md,complete
XI-D,"Internal Roles, Accountability, and Due-Process Requirements",agency/participation,core_06-06_rights_part_b.md,1496,4.2; 6.3; 10; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,,,Avoidable Burden; Productive Capacity; Accessibility,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05defs_accountability.md; core_05defs_participation.md; corpus_institutions.md,complete
