cluster_id,cluster_title,file,start_line,end_line,inferred_ch1_principles,direct_ch1_refs,read_with_refs,owner_refs,op_rule_count,op_complete,status
CJS-5.11,Accountability: distributed and proportional authority terms,corpus_joint_structure/cjs_05a_accountability_operations.md,26,129,2.1; 4; 5.2; 7.2; 10,10; 2.1; 4; 5.2; 7.2; linked,,CI; CS; Chapter Five; corpus_systems.md,11,yes,complete
CJS-5.12,Accountability: burden-of-justification and constraint terms,corpus_joint_structure/cjs_05a_accountability_operations.md,130,239,6.1; 6.3; 6.4; 7.1; 8; 9,6.1; 6.3; 6.4; 6.4.1; 7.1; 8; 9; linked,,CF; CI; CS; Chapter Five; Core definitions; corpus_forum.md; corpus_systems.md,12,yes,complete
CJS-5.13,Accountability: procedural integrity and adjudication terms,corpus_joint_structure/cjs_05a_accountability_operations.md,240,365,2.1; 3.4; 6.4; 7.1; 8; 10,10; 2.1; 3.4; 6.4; 7.1; 8; linked,,CF; CI; CS; Chapter Five; core_09-09_forum.md; corpus_forum.md; corpus_institutions.md; corpus_systems.md,13,yes,complete
CJS-5.14,Accountability: intervention governance and override-authorization terms,corpus_joint_structure/cjs_05a_accountability_operations.md,366,446,3.1; 6.1; 6.4; 7.1; 9,3.1; 6.1; 6.4; 7.1; 9; linked,,CF; Chapter Five,7,yes,complete
CJS-5.15,"Accountability: structural review, correction urgency, and disclosure terms",corpus_joint_structure/cjs_05a_accountability_operations.md,447,525,3.1; 3.2; 4.1; 5.2; 7.1; 7.2,3.1; 3.2; 4.1; 5.2; 7.1; 7.2; linked,,CS; Chapter Five; corpus_systems.md,7,yes,complete
CJS-5.16,Continuity: dependency integrity and disclosure terms,corpus_joint_structure/cjs_05c_continuity_operations.md,27,115,3.1; 4.1; 5.1; 7.1; 9,3.1; 4.1; 5.1; 7.1; 9; linked,,Article XV-A; CI; CS; Chapter Five; corpus_systems.md,10,yes,complete
CJS-5.17,"Continuity: interoperability, portability, and exit-integrity terms",corpus_joint_structure/cjs_05c_continuity_operations.md,116,235,5.1; 6.1; 7.1; 8; 9,5.1; 6.1; 7.1; 8; 9; linked,,Article XIX; Article XV-A; CI; CS; Chapter Five; Foundational Rights; corpus_systems.md,16,yes,complete
CJS-5.18,Continuity: data-retention and lifecycle-integrity terms,corpus_joint_structure/cjs_05c_continuity_operations.md,236,332,3.2; 6.2; 7.1; 8; 9,3.2; 6.2; 7.1; 8; 9; linked,,CS; Chapter Five; corpus_systems.md,11,yes,complete
CJS-5.19,Continuity: graceful degradation and failure-mode integrity terms,corpus_joint_structure/cjs_05c_continuity_operations.md,333,425,3.1; 4.1; 5.1; 6.1; 7; 9,3.1; 4.1; 5.1; 6.1; 7; 9; linked,,Chapter Five; corpus_systems.md,11,yes,complete
CJS-5.20,Continuity: reversibility and containment terms,corpus_joint_structure/cjs_05c_continuity_operations.md,426,492,3.1; 4.1; 6.1; 7.1; 9,3.1; 4.1; 6.1; 7.1; 9; linked,,Chapter Five,5,yes,complete
CJS-5.21,Continuity: adversarial robustness and abuse-resistance terms,corpus_joint_structure/cjs_05c_continuity_operations.md,493,602,3.1; 3.2; 4.1; 7.1; 7.2; 9,3.1; 3.2; 4.1; 7.1; 7.2; 9; linked,,Chapter Five,13,yes,complete
CJS-5.22,Integrative: constrained-secrecy and protected-investigation terms,corpus_joint_structure/cjs_05i_integrative_operations.md,23,98,3.2; 6.2; 6.4; 7.1; 8; 9,3.2; 6.2; 6.4; 7.1; 8; 9; linked,,Chapter Five,6,yes,complete
CJS-5.23,Integrative: intervention and override integrity terms,corpus_joint_structure/cjs_05i_integrative_operations.md,99,200,3.1; 6.1; 6.4; 7.1; 9,3.1; 6.1; 6.4; 6.4.1; 7.1; 9; linked,,CF; Chapter Five; corpus_forum.md,10,yes,complete
CJS-5.1,Library: Constitutional compass and cluster map,corpus_joint_structure/cjs_05_cross_implementation_operational_terms.md,132,205,2.1; 3; 3.1; 3.2; 3.3; 3.4; 4; 4.1; 5; 5.1; 5.2; 6; 6.1; 6.2; 6.3; 6.4; 7; 7.1; 7.2; 8; 9; 10,linked,,CF; CI; CS; Chapter Five,0,yes,complete
