article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,owner_refs,status
II-E,"Info-Sphere Dependency, Continuity, and Operator Non-Viability",survival/resources,core_06-06_rights_part_a.md,440,4.1; 10.1; 11.6; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,oversight; accountability,continuity,materiality,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Truth / Epistemic Integrity; Privacy / Data Stewardship; Market Structure / Contestability,Article I-C; Article II; Article XIX-A; Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_06-06_rights_part_c.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; core_09-09_standing_integration.md; corpus_joint_structure.md; corpus_systems.md,complete
III,Survival and Equal Educational Access,survival/resources,core_06-06_rights_part_a.md,490,2; 3.1; 6; 9; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Educational Agency,Article I; Article II; Article III; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md,manual_review
III-A,Survival,survival/resources,core_06-06_rights_part_a.md,513,3; 4.1; 5; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Market Structure / Contestability; Timely Resolution,Article XII-B; Article XVIII-B; Article XXIV-C; Article XXVI-D; Chapter Five; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; core_08-08_standing_assessment.md; corpus_institutions.md; corpus_systems.md,complete
III-B,Equal Educational Access,survival/resources,core_06-06_rights_part_a.md,565,3; 4.2; 5; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,participation; accountability,,,Wellbeing; Safety / Harm / Risk; Productive Capacity; Ecological Footprint / Environmental Preconditions; Substantive Fairness; Accessibility; Educational Agency; Truth / Epistemic Integrity,Article VI; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md,complete
III-C,Bodily-Maintenance and Healthcare Access,survival/resources,core_06-06_rights_part_a.md,602,3; 5; 5.1; linked,2; 3.1; 5; 5.1; 6.1; 6.3; 7; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Ecological Footprint / Environmental Preconditions; Substantive Fairness,Article III-A; Article V-A; Article V-B; Article VII-A; Article VII-B; Article VII-C; Article XXIII; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; corpus_institutions.md,complete
III-D,Labor and Economic Floor,survival/resources,core_06-06_rights_part_a.md,649,3; 5; 5.1; 8.16; 9; 11.1.3; 13; linked,2; 3.1; 4; 5; 5.1; 6.1; 6.3; 7; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability,continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Substantive Fairness; Educational Agency; Trustworthiness; Market Structure / Contestability,Article III-A; Article III-B; Article IX-A; Article IX-B; Article V-A; Article V-B; Article XII-A; Article XIII-A; Article XVIII; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md; corpus_institutions.md; corpus_systems.md,complete
IV,"Resource Allocation, Dependencies, and Ecosystem Funding",survival/resources,core_06-06_rights_part_a.md,712,2; 3.1; 8; 11; 12; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Proportionate Cross-System Support; Incentive Alignment / Proxy Integrity,Article IV; Article IV-A; Article IV-B; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05c_continuity_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,manual_review
IV-A,Dependency Mapping and Resource-Flow Transparency,survival/resources,core_06-06_rights_part_a.md,750,4.2; 10; linked,3.2; 6.2; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight,flourishing; continuity,,Wellbeing; Productive Capacity; Resilience / Systemic Risk; Dependency / Resource Flow; Proportionate Cross-System Support; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity,Article IV-A; Article XV-A; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,complete
IV-B,Cross-System Fairness and Sustainability,survival/resources,core_06-06_rights_part_a.md,781,3; 8.20; 10.1; 13; 13.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,materiality,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Proportionate Cross-System Support; Substantive Fairness; Market Structure / Contestability; Timely Resolution,Article IV-A; Article IV-B; Article XXIV-C; Chapter Five; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md; core_06-06_rights_part_b.md](core_06-06_rights_part_b.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; core_08-11_application_vignettes.md](core_08-11_application_vignettes.md; corpus_systems.md,complete
V,Equal Basic Rights,equality/access,core_06-06_rights_part_b.md,57,linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8,accountability,continuity,materiality,Avoidable Burden; Substantive Fairness; Accessibility,Article V; Article V-B; Article V-G; Article XVIII-B; Chapter Seven; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,manual_review
V-A,Dignity and Equal Moral Standing,equality/access,core_06-06_rights_part_b.md,67,3; 5; 8.16; linked,2; 3.1; 5; 5.1; 7; 8,participation,continuity,,Wellbeing; Productive Capacity; Substantive Fairness; Market Structure / Contestability,Chapter Five; Chapter One; core_01_a_values_principles.md; core_05c_continuity_definitions.md; core_05i_integrative_definitions.md; core_05p_participation_definitions.md,complete
V-B,Nondiscrimination,equality/access,core_06-06_rights_part_b.md,95,5; 6.3; 8.1; 10.1; linked,3.1; 5; 5.1; 6.1; 6.3; 7; 8,participation; accountability,continuity,,Safety / Harm / Risk; Constitutional Efficiency; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Substantive Fairness; Accessibility,Article I-A; Article V-B; Chapter Five; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
V-C,Full Inclusion and Equality in Adjudication and Operations,equality/access,core_06-06_rights_part_b.md,144,4.1; 5; 6.3; linked,2; 3.1; 5; 5.1; 6.1; 6.3; 7; 8; 10; 10.2,participation; accountability,,,Safety / Harm / Risk; Survival-floor access; Constitutional Efficiency; Avoidable Burden; Substantive Fairness; Market Structure / Contestability,Article V-A; Article V-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md,complete
V-D,"Freedom of conscience, religion, and comparable worldview",equality/access,core_06-06_rights_part_b.md,178,5; 6.3; 10.1; linked,3.1; 5; 5.1; 6.1; 6.3; 7; 8; 10; 10.2,participation; accountability,,,Safety / Harm / Risk; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Substantive Fairness; Accessibility,Article V-B; Article X-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md,complete
V-E,Sentience-Status Adjudication Floor,equality/access,core_06-06_rights_part_b.md,222,4.2; 8.1.1; 10.1; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; accountability,continuity,,Avoidable Burden; Resilience / Systemic Risk; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Article V-A; Article XIII-A; Article XXII; Chapter Eleven; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; core_11-11_forum.md,complete
V-F,"Developing Sentients, Best-Interest, and Graduated Capability",equality/access,core_06-06_rights_part_b.md,267,4.2; 5; 5.1; 8.1; 8.1.1; 8.16; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation,continuity,,Safety / Harm / Risk; Productive Capacity; Resilience / Systemic Risk; Substantive Fairness; Truth / Epistemic Integrity; Market Structure / Contestability,Article V-A; Article V-B; Article V-E; Article V-F; Article VII; Article VII-A; Article VII-B; Article VII-D; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md,complete
V-G,Accessibility,equality/access,core_06-06_rights_part_b.md,329,3; 4.1; 5; 5.1; 6.3.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 8; 10; 10.2; 11; 12; 13,participation,,materiality,Wellbeing; Survival-floor access; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Substantive Fairness; Accessibility; Educational Agency; Truth / Epistemic Integrity,Article III-A; Article III-B; Article III-C; Article IX-C; Article V-A; Article V-B; Article V-C; Article V-H; Article XI; Article XV; Chapter Five; Chapter One; Chapter Seven; core_00_preamble.md; core_01_a_values_principles.md; core_05p_participation_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_institutions.md,complete
V-H,"Expression, Assembly, and Press",equality/access,core_06-06_rights_part_b.md,392,4.2; 5; 5.1; 6.3.1; 7.2.1; 8.1.2; 8.16; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10.2,participation; oversight; accountability,,,Avoidable Burden; Ecological Footprint / Environmental Preconditions; Substantive Fairness; Educational Agency; Truth / Epistemic Integrity,Article IX-A; Article V-A; Article V-B; Article V-D; Article V-H; Article VIII-C; Article X-A; Article XI; Article XIII-A; Article XIV; Article XV-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md,complete
VI,Right to Sentient-Centered Education,equality/access,core_06-06_rights_part_b.md,445,2; 3.4; 5; 8; linked,2; 3.1; 3.2; 5; 5.1; 6.2; 7; 8; 9; 9.2,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Survival-floor access; Avoidable Burden; Productive Capacity; Substantive Fairness; Accessibility; Educational Agency,Article III; Article VI; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05p_participation_definitions.md,manual_review
VI-A,Capability-Building Education Right,equality/access,core_06-06_rights_part_b.md,487,3; 5; linked,2; 3.1; 5; 5.1; 11; 12; 13,participation; accountability,continuity,,Wellbeing; Productive Capacity; Educational Agency,Chapter One; Chapter Seven; core_01_a_values_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation,complete
VI-B,Lifelong and Adaptive Learning and Contestability,equality/access,core_06-06_rights_part_b.md,516,4.2; 5; 10; linked,3.2; 5; 5.1; 6.2; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability,,,Productive Capacity; Accessibility; Educational Agency; Truth / Epistemic Integrity; Market Structure / Contestability,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md,complete
VII,Self-Ownership,equality/access,core_06-06_rights_part_b.md,550,2; 3.1; 5; 10; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity,Article VII; Article VIII; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md,manual_review
VII-A,Self-Ownership of Body and Mind,equality/access,core_06-06_rights_part_b.md,580,5; 5.1; 6.3; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; accountability,continuity,,Avoidable Burden; Truth / Epistemic Integrity; Privacy / Data Stewardship; Incentive Alignment / Proxy Integrity,Article VII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; corpus_systems.md,complete
VII-B,Internal-State Boundary and Type-N Protection,equality/access,core_06-06_rights_part_b.md,612,4.2; 5; 5.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,participation; accountability,continuity,,Truth / Epistemic Integrity; Privacy / Data Stewardship; Trustworthiness,Article VII-A; Article VII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; corpus_systems.md,complete
VII-C,Mental-Health Crisis and Involuntary-Intervention Floor,equality/access,core_06-06_rights_part_b.md,647,5; 5.1; 8.1.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,participation; accountability,continuity,,Survival-floor access; Avoidable Burden; Productive Capacity; Resilience / Systemic Risk; Trustworthiness,Article III-C; Article V-F; Article VII-A; Article VII-B; Article VII-D; Article XXIII; Article XXIII-B; Chapter Eleven; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; corpus_systems.md,complete
VII-D,"Family, Care Relationships, Reproductive Autonomy, and Non-Separation",equality/access,core_06-06_rights_part_b.md,692,4.2; 5; 5.1; 8.16; 9; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation,continuity,,Safety / Harm / Risk; Constitutional Efficiency; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Substantive Fairness; Truth / Epistemic Integrity; Market Structure / Contestability,Article V-A; Article V-B; Article V-E; Article V-F; Article VII-A; Article VII-B; Article VII-D; Article X-A; Article XII-E; Article XII-F; Chapter Eleven; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md,complete
VII-E,Voluntary Discontinuation of One's Own Existence,equality/access,core_06-06_rights_part_b.md,775,5; 5.1; 8.1.1; linked,2; 3.1; 5; 5.1; 6.1; 6.3; 7; 8; 11; 12; 13,participation; accountability; timeliness,continuity,,Survival-floor access; Avoidable Burden; Productive Capacity; Resilience / Systemic Risk; Dependency / Resource Flow; Timely Resolution,Article III-A; Article III-C; Article IX-A; Article V-F; Article VII-A; Article VII-B; Article VII-C; Article X-A; Article XXIII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md,complete
VIII,"Likeness, Experiential Data, and Publication Rights",equality/access,core_06-06_rights_part_b.md,832,3.1; 3.2; 5; 6; 10; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity,Article VII; Article VIII; Article XIV; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md,manual_review
VIII-A,Self-Ownership of Likeness and Reputation,equality/access,core_06-06_rights_part_b.md,862,4.2; 5; 9.2; linked,3.2; 5; 5.1; 6.2; 7; 8; 10; 10.2,oversight; accountability,continuity,,Truth / Epistemic Integrity; Privacy / Data Stewardship; Market Structure / Contestability,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; corpus_systems.md,complete
VIII-B,Experiential and Derived Data Rights,equality/access,core_06-06_rights_part_b.md,901,5; 6.3; 9.2; linked,3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 10; 10.2,participation; accountability,continuity,,Truth / Epistemic Integrity; Privacy / Data Stewardship,Article VIII-C; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05c_continuity_definitions.md; core_05p_participation_definitions.md; corpus_systems.md,complete
VIII-C,Truthful Publication and High-Impact Publication Limits,equality/access,core_06-06_rights_part_b.md,947,4.2; 9.2; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,oversight; accountability,continuity,,Safety / Harm / Risk; Resilience / Systemic Risk; Truth / Epistemic Integrity; Privacy / Data Stewardship,Article VIII-A; Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,complete
VIII-D,"Creative Work, Training-Data Use, and Anti-Displacement",equality/access,core_06-06_rights_part_b.md,992,4.2; 5; 6.1.3; 6.3.1; 8.16; 9; 10; 12.1; 13.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Survival-floor access; Constitutional Efficiency; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Truth / Epistemic Integrity; Privacy / Data Stewardship; Market Structure / Contestability,Article III-D; Article VIII-A; Article VIII-B; Article VIII-C; Article VIII-D; Chapter Five; Chapter One; Chapter Seven; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05i_integrative_definitions.md; core_05p_participation_definitions.md; core_07_a_system_alignment_certification_evaluation.md#chapter-seven-part-a-certification-evaluation; corpus_systems.md,complete
IX,Self-Determination and Agency,agency/participation,core_06-06_rights_part_b.md,1046,3.1; 5; 6; 11; 13; linked,3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability,Article IX; Article VII; Article XI; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05a_accountability_definitions.md; core_05c_continuity_definitions.md; core_05o_oversight_definitions.md; core_05p_participation_definitions.md,manual_review
