cluster_id,cluster_title,file,start_line,end_line,inferred_ch1_principles,direct_ch1_refs,read_with_refs,owner_refs,op_rule_count,op_complete,status
CJS-3.12,Accountability: burden-of-justification and constraint terms,corpus_joint_structure/cjs_03a_accountability_operations.md,403,653,11.1; 11.3; 11.4; 12.1; 8; 9,11.1; 11.3; 11.4; 12.1; 6.3.1; 8; 9; linked,,CF; CI; CS; Core definitions; corpus_forum.md,12,yes,complete
CJS-3.13,Accountability: procedural integrity and adjudication terms,corpus_joint_structure/cjs_03a_accountability_operations.md,654,933,8.1; 3.4; 11.4; 12.1; 8; 10,10; 11.4; 12.1; 3.4; 8; 8.1; linked,,CF; CI; CS; core_11_forum.md; corpus_forum.md; corpus_institutions.md; corpus_systems.md,13,yes,complete
CJS-3.14,Accountability: intervention governance and override-authorization terms,corpus_joint_structure/cjs_03a_accountability_operations.md,934,1095,8.1; 11.1; 11.4; 12.1; 9,11.1; 11.4; 12.1; 8.1; 9; linked,,CF,7,yes,complete
CJS-3.15,"Accountability: structural review, correction urgency, and disclosure terms",corpus_joint_structure/cjs_03a_accountability_operations.md,1096,1278,8.1; 8.2; 6.2; 12.1; 12.2,12.1; 12.2; 6.2; 8.1; 8.2; linked,,CS,8,yes,complete
CJS-3.16,Continuity: dependency integrity and disclosure terms,corpus_joint_structure/cjs_03c_continuity_operations.md,40,249,8.1; 12.1; 9,12.1; 8.1; 9; linked,,Article XV-A; CI; CS; corpus_systems.md,10,yes,complete
CJS-3.17,"Continuity: interoperability, portability, and exit-integrity terms",corpus_joint_structure/cjs_03c_continuity_operations.md,250,580,8.1; 11.1; 12.1; 8; 9,11.1; 12.1; 8; 8.1; 9; linked,,Article II-E; Article XIX; Article XV-A; CI; CS; Foundational Rights,17,yes,complete
CJS-3.18,Continuity: data-retention and lifecycle-integrity terms,corpus_joint_structure/cjs_03c_continuity_operations.md,581,807,8.2; 11.2; 12.1; 8; 9,11.2; 12.1; 8; 8.2; 9; linked,,CS,11,yes,complete
CJS-3.19,Continuity: graceful degradation and failure-mode integrity terms,corpus_joint_structure/cjs_03c_continuity_operations.md,808,1033,8.1; 11.1; 7; 9,11.1; 7; 8.1; 9; linked,,CS,11,yes,complete
CJS-3.20,Continuity: reversibility and containment terms,corpus_joint_structure/cjs_03c_continuity_operations.md,1034,1159,8.1; 11.1; 12.1; 9,11.1; 12.1; 8.1; 9; linked,,Article XII-F; Article XVI; CS,5,yes,complete
CJS-3.21,Continuity: adversarial robustness and abuse-resistance terms,corpus_joint_structure/cjs_03c_continuity_operations.md,1160,1427,8.1; 8.2; 12.1; 12.2; 9,12.1; 12.2; 8.1; 8.2; 9; linked,,Article XII; CS,13,yes,complete
CJS-3.22,Integrative: constrained-secrecy and protected-investigation terms,corpus_joint_structure/cjs_03i_integrative_operations.md,36,183,8.2; 11.2; 11.4; 12.1; 8; 9,11.2; 11.4; 12.1; 8; 8.2; 9; linked,,Article VII-B; Article XIII-A; Article XV,6,yes,complete
CJS-3.23,Integrative: intervention and override integrity terms,corpus_joint_structure/cjs_03i_integrative_operations.md,184,401,8.1; 11.1; 11.4; 12.1; 9,11.1; 11.4; 12.1; 6.3.1; 8.1; 9; linked,,CF; Chapter Five; corpus_forum.md,10,yes,complete
