layer,capability,audience,obligation,analog_ok,core_home,impl_owner,existing_schema,status,cite,notes
const-op,Inspect own contribution and violation standing records,ordinary sentient (subject); party; auditor; forum participant,must,mixed,Standing Record,Ch.8 §3.1,,Explicit,core_08_standing_assessment.md#31-minimum-record-contents; core_05_band_accountability.md#standing-record-chapter-six,Inspectable records. Dashboards are optional tools under §3.5 and must not bury fields in a score.
const-op,See challenge path on each standing record,ordinary sentient (subject); party,must,yes,Standing Record,Ch.8 §3.1,,Explicit,core_08_standing_assessment.md#31-minimum-record-contents,"How to challenge, which forum, correction/restoration conditions."
const-op,Challenge a standing record; request correction or versioning,ordinary sentient (subject); party; forum participant,must,yes,Standing Record,Ch.8 §3.4 / §3.6; Ch.11 §2.3,,Explicit,core_08_standing_assessment.md#34-versioning; core_08_standing_assessment.md#36-forum-boundary; core_11_forum.md#23-forum-records-standing-records-and-contests,"Filed case is not standing by itself. Forum may open, update, correct, or set aside after verified inputs."
const-op,Refuse standing-record consent as a gate on survival or ordinary commerce,ordinary sentient,must,yes,Standing Record,Ch.8 §2.1,,Explicit,core_08_standing_assessment.md#21-silence-is-the-default,"A refusal surface, not a product. Competency bars for named trust-sensitive pathways are the stated exception."
const-op,"Optional standing-record tools (fields, forms, dashboards)",steward; auditor,should,yes,Standing Record,Ch.8 §3.5,implementation/schemas/ch06_assessment.schema.json,Explicit,core_08_standing_assessment.md#35-implementation-tools,Source says teams may build tools. They must keep §3.1 fields separately visible. Schema is process-support only.
const-op,"Inspect integration record (remedy, locks, effects)",party; auditor; forum participant,must,yes,Standing Record (effects),Ch.9 §2,,Explicit,core_09_standing_integration.md#2-integration-record-and-decision-order,"Inputs, rules, outcome, and review route inspectable and challengeable."
const-op,"View remedy owed, responsible party, funding, and start",party; public; steward,must,yes,Remedy System,Ch.9 §4.1 / §4.4; CI-27,,Explicit,core_09_standing_integration.md#41-remedy-and-correction; core_09_standing_integration.md#44-remedy-parity-and-lock-preconditions,"Opened-remedy precondition for locks. Plain view, not a scoreboard product."
const-op,Request and receive remedy and correction,party,must,yes,Remedy System,Ch.9 §4.1; CI-27,,Explicit,core_09_standing_integration.md#41-remedy-and-correction; corpus_institutions/ci_27_remedy_systems_institutional_redress_capacity.md#ci-271-capacity-funding-and-succession,Intake may be analog. Digital is usual at scale.
const-op,Inspect published lock-to-remedy performance figures,public; auditor; steward,must,yes,Remedy System,Ch.9 §4.4; CI-27.2; CF-11,,Explicit,core_09_standing_integration.md#44-remedy-parity-and-lock-preconditions; corpus_institutions/ci_27_remedy_systems_institutional_redress_capacity.md#ci-272-durability-backlog-and-publication; corpus_forum/cf_11_performance_backlog_publication_accessibility.md,"Owner split: Chapter Nine floor, CI-27 institution publication, CF-11 forum metrics."
const-op,View standing-lock terms; contest a lock; seek lift,ordinary sentient (subject); party; forum participant,must,yes,Standing Lock,Ch.9 §5.3 / §8; Art. XVIII-B,,Explicit,core_09_standing_integration.md#53-record-visibility-and-escalation; core_09_standing_integration.md#8-restoration-and-reassessment; core_06_rights_part_c.md#article-xviii-b-contestability-and-proportional-restriction-limits,"Named pathway, risk, conditions, duration, contest route in plain view."
const-op,Receive plain-language statement of standing effect and burden,ordinary sentient (subject),must,yes,Standing Lock; named pathways,Ch.9 §7.2,,Explicit,core_09_standing_integration.md#72-plain-statement-of-effect-and-burden,"Must name affected named pathways, what the subject may and may not do, duration, and challenge route. Not a reputation dashboard."
const-op,Meet published competency bar; obtain or contest clearance,ordinary sentient; steward; party,class-scaled-must,yes,Competency Clearance,Ch.9 §6.2; CI-4,,Explicit,core_09_standing_integration.md#62-competency-bars-and-clearances; core_05_band_accountability.md#competency-clearance,Required only where a trust-sensitive named pathway uses a published bar.
const-op,Use manual continuity process during standing-pipeline outage,steward; party; forum participant,must,yes,Standing Record (effects),Ch.9 §2,,Explicit,core_09_standing_integration.md#2-integration-record-and-decision-order,Analog/manual fallback is required. Software outage must not erase fields or rights.
const-op,Refuse unlawful instruction; document; escalate,steward,must,mixed,Attributable Action,Ch.9 §5.4; CS-4 §10,implementation/schemas/cs4_inspectable_action_log.schema.json,Explicit,core_09_standing_integration.md#54-duty-to-resist-unlawful-or-unconstitutional-instructions; corpus_systems/cs_04_critical_system_stewardship.md#10-inspectable-attributable-action,Sequence is refuse → document → escalate. Log schema is process-support form of the CS-4 surface.
const-op,File a case; use published intake classes,ordinary sentient; party; forum participant,must,yes,Forum Case Record,Ch.11 §2; CF-5.1/5.2,,Explicit,core_11_forum.md#2-default-venue-and-primary-stakes; corpus_forum/cf_05_routing_operations_transfer_certification_representative_treatment.md,Prompt contestable initial access. Analog filing remains lawful.
const-op,Contest routing or threshold placement,party; forum participant,must,yes,Forum Case Record,Ch.11 §2; CF-5.2,,Explicit,core_11_forum.md#2-default-venue-and-primary-stakes; core_11_forum.md#good-faith-characterization-and-anti-gaming,Anti-gaming of family placement.
const-op,Inspect forum case record,party; forum participant; auditor,must,yes,Forum Case Record,Ch.11 §2.3; CF-15,,Explicit,core_11_forum.md#23-forum-records-standing-records-and-contests; core_05_band_accountability.md#forum-case-record,"Tracks claims, evidence, routing, orders, findings. Not a standing record."
const-op,Obtain interim protection,party; forum participant,must,yes,Forum Case Record,Ch.11; CF-15.1 interim-relief order,,Explicit,core_11_forum.md#interim-protection; corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Without waiting for final merits.
const-op,File capacity-failure claims outside the starved body,party; ordinary sentient; reporter,must,yes,Forum Case Record; Remedy System,Ch.11; CF-5.4; CI-27.5,,Explicit,core_11_forum.md#capacity-failure-routing; corpus_forum/cf_05_routing_operations_transfer_certification_representative_treatment.md#cf-54-capacity-failure-routing,Starved body may evidence but not sole-find.
const-op,Inspect published forum-structure map (all families),ordinary sentient; party; public,must,yes,Forum Case Record,CF-3.2; Ch.11 §2,,Explicit,corpus_forum/cf_03_forum_formation_chamber_structure.md#cf-32-family-to-forum-structure-translation-map,Which real bench handles which family.
const-op,Reach each required distinct forum family,ordinary sentient; party,must,yes,Forum Case Record,CF-3.1; Ch.11 §4,,Explicit,corpus_forum/cf_03_forum_formation_chamber_structure.md#cf-31-core-structural-rule; core_11_forum.md#4-forum-family-definitions,"Minimum family inventory. Capability is access, not six separate products."
const-op,Use CF-15.1 standard forum record set (intake through restoration),party; forum participant; auditor,must,yes,Forum Case Record,CF-15.1,,Explicit,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,"Twenty-one named templates plus Sentience-Status Adjudication Record format. Forms may be paper. Combining forms must not hide actor, authority, facts, review path, or family."
const-op,Access forum records by tagged access class,party; public; auditor; contest-integrity monitor,must,mixed,Forum Case Record,CF-15.3,,Explicit,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-153-access-classes,Party / public / audit / contest-integrity / external-assurance / restricted. Access tags are not a second type taxonomy (CS-2).
const-op,"Inspect published forum performance, backlog, and accessibility metrics",public; auditor; monitor,must,yes,Forum Case Record,CF-11.3,,Explicit,corpus_forum/cf_11_performance_backlog_publication_accessibility.md#cf-113-metric-registry-and-reporting-taxonomy,"If heading id differs, home is CF-11.3 Metric registry. Public facts about delay."
const-op,"Know matter status; file, manage, and contest with accessibility parity",party,must,mixed,Forum Case Record,CF-11.1 / CF-11.7,,Explicit,corpus_forum/cf_11_performance_backlog_publication_accessibility.md#cf-111-core-rule,Practical ability to use the forum while remedy still matters. Digital parity where the forum is digital.
const-op,File and preserve records under forum continuity modes,party; forum participant,must,yes,Forum Case Record,CF-12; CS-5 crisis trails,,Explicit,corpus_forum/cf_12_forum_continuity.md#cf-124-continuity-minimum-functions,"Urgent intake, emergency relief, triage, custody during impairment. Analog fallback required."
const-op,Receive forum continuity-status communications,party,must,yes,Forum Case Record,CF-12.6; CS-5 §8,,Explicit,corpus_forum/cf_12_forum_continuity.md#cf-126-communication-duties,Owner split with CS-5 crisis communications.
const-op,File or contest sentience-status adjudication; inspect the record,ordinary sentient; party; independent representative; forum participant,must,yes,Sentience-Status Adjudication Record,Art. V-E; Ch.11 §5; CF protocol,implementation/schemas/sentience_status_adjudication_record.schema.json,Explicit,core_06_rights_part_b.md#article-v-e-sentience-status-adjudication-floor; core_05_band_participation.md#sentience-status-adjudication-record-constitutional; corpus_forum/cf_sentience_status_record.md,Hearing may be analog. Schema is process-support form.
const-op,Contest evidence chain and transformed exhibits,party,must,mixed,Evidence Preservation,CF-15.4,,Explicit,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-154-evidence-artifact-handling,"Custody, source, transformation history."
const-op,Inspect published legitimacy mechanism,public; ordinary sentient; auditor,must,yes,Governance,Ch.12 §1.1,,Explicit,core_12_governance.md#11-mechanism-families-auditability-and-pluralism,Active mechanism published and auditable.
const-op,Vote or bind collective choice under published rules; verify outcomes,ordinary sentient; auditor; public,must,mixed,Governance,Ch.12 §4; Art. IX-C,,Explicit,core_12_governance.md#4-voting-and-binding-collective-choice-protocols; core_12_governance.md#43-decision-resolution-requirements-for-binding-collective-choice; core_06_rights_part_b.md#article-ix-c-governance-participation-and-voting-entitlement,Independent verification of outcome records. Digital common; analog ballots remain lawful unless the published mechanism says otherwise.
const-op,Initiate recall-class early transfer or reauthorization,ordinary sentient; public,must,yes,Governance,Ch.12 §1.3,,Explicit,core_12_governance.md#13-recall-class-pathways-and-mid-cycle-transfer-guardrails,Published community-initiated early transfer pathway where mandates persist.
const-op,Inspect and challenge authorized role definitions,steward; party; auditor,must,yes,Governance,Ch.12 §5; CI-4.2,,Explicit,core_12_governance.md#5-authorized-roles-competency-development-and-contribution; corpus_institutions/ci_04_appointment_competency_rotation_removal.md#ci-42-role-criteria-appointment-standards-and-removal-pathways,"Documented, auditable, challengeable role definitions."
const-op,"Use seat-catalog boundaries (wrong-seat: decline, name, log, route)",steward,must,mixed,Governance,CI-4.6; Ch.1 §10.1,,Explicit,corpus_institutions/ci_04_appointment_competency_rotation_removal.md#ci-46-seat-catalog; core_01_c_stewardship_capacity_principles.md#101-segregation-of-duties,Nine seat types. Logging may use CS-4 §10. Not a product; an operational boundary surface.
const-op,Inspect published institutional lane map,public; auditor; steward,must,yes,Governance,CI-3.2,,Explicit,corpus_institutions/ci_03_institutional_design_separation_of_powers.md#ci-32-functional-separation-lanes,"Who hosts direction, execution, challenge, assurance, publication."
const-op,"Inspect published appointment, rotation, and removal pathways",public; candidate; steward,must,yes,Governance,CI-4.2,,Explicit,corpus_institutions/ci_04_appointment_competency_rotation_removal.md#ci-42-role-criteria-appointment-standards-and-removal-pathways,How people enter and leave consequential roles.
const-op,Receive stakeholder notice and use participation windows,party; ordinary sentient,must,yes,Governance,CI-8.1; CJS-3.7; Art. XI,,Explicit,corpus_institutions/ci_08_transparency_participation_accessible_pathways.md#ci-81-stakeholder-oversight-notification-and-binding-governance-pathway-integrity; core_06_rights_part_b.md#article-xi-a-stakeholder-system-participation-and-representation,Notice before binding outcomes harden.
const-op,Inspect weighting publication and concentration indicators,party; public,must,yes,Governance,CI-8.2; Art. XI-B,,Explicit,corpus_institutions/ci_08_transparency_participation_accessible_pathways.md#ci-82-anti-concentration-and-participation-legitimacy-safeguards; core_06_rights_part_b.md#article-xi-b-weighted-participation-constraints,How weight works; contest exclusion/under-weighting.
const-op,Inspect standard institutional governance report,public,must,yes,Governance,CI-8,,Explicit,corpus_institutions/ci_08_transparency_participation_accessible_pathways.md,"Fixed-cadence report: scope, failures, fixes, conflicts. Not a brochure."
const-op,Inspect contest-integrity monitor outputs,monitor; auditor; public (as published),class-scaled-must,mixed,Contestability,CI-7.3; CF-11.8,,Explicit,corpus_institutions/ci_07_oversight_assurance_controls_evidence.md#ci-73-contest-integrity-monitoring-class-a-and-class-b,Whether challenge routes still work. Class A/B.
const-op,Receive incident and control-failure notices,ordinary sentient; party; auditor,class-scaled-must,yes,Risk Disclosure,CI-7.1; CJS-3.6,,Explicit,corpus_institutions/ci_07_oversight_assurance_controls_evidence.md#ci-71-controls-declaration,Urgency-banded notice windows.
const-op,Inspect published external-assurance triggers,public,must,yes,Auditability,CI-7.2,,Explicit,corpus_institutions/ci_07_oversight_assurance_controls_evidence.md#ci-72-external-assurance-triggers,When outside review is mandatory.
const-op,Contest remedy under-capacity or inaccessible intake,party; ordinary sentient,must,yes,Remedy System,CI-27.1; Ch.9 §9,,Explicit,corpus_institutions/ci_27_remedy_systems_institutional_redress_capacity.md#ci-271-capacity-funding-and-succession,"Named owner, funding, succession, contest route in plain view."
both,"Revoke, rotate, and correct identity and attribution credentials",ordinary sentient,must,yes,Identity Data Protection,CS-2 §1.1; Art. VII / VII-A,,Explicit,corpus_systems/cs_02_a_information_types_and_handling.md#11-identity-self-ownership-and-recoverability; core_06_rights_part_b.md#article-vii-a-self-ownership-of-body-and-mind; core_05_band_continuity.md#identity-data-protection,Constitutional-operating for identity systems; in-scope duty on any system that holds identity/attribution data.
in-scope,Export or migrate continuity-critical data on disclosed paths,ordinary sentient,class-scaled-must,mixed,Portability,CS-2 §1.2; CJS-3.17; Art. XIX-A,,Explicit,corpus_systems/cs_02_a_information_types_and_handling.md#12-continuity-critical-collection-and-exportability; core_06_rights_part_c.md#article-xix-a-portability-rights; corpus_joint_structure/cjs_03c_continuity_operations.md#collection-time-exportability-and-continuity-critical-data-integrity,Class A/B/C: do not collect in non-exportable form. Disclose limits before commitment. Machine-usable export is the usual satisfaction; physical media can count if usable.
in-scope,"Use digital self-service to enroll, manage, downgrade, renew, and exit",ordinary sentient,must,no,Portability,CJS-3.17; CI-8.3,,Explicit,corpus_joint_structure/cjs_03c_continuity_operations.md#digital-self-service-pathway-integrity; corpus_institutions/ci_08_transparency_participation_accessible_pathways.md#ci-83-digital-self-service-pathway-integrity,"Same-channel-class rule: if entry is digital, exit must be in that channel class. Analog-only exit after digital entry is a primary failure. If the system has no digital entry, this row does not force a digital channel."
in-scope,"Cancel, downgrade, or stop charges through a published path",ordinary sentient,must,no,Portability,CJS-3.17,,Explicit,corpus_joint_structure/cjs_03c_continuity_operations.md#commitment-renewal-and-charge-exit-integrity,Read with CI-10.2 billing integrity where charges apply. Same-channel rule when entry was digital.
in-scope,Inspect exit-feasibility and dependency disclosures,ordinary sentient; auditor,must,yes,Dependency,CJS-3.17 / 3.16; Art. XIX-C; Art. IV-A,,Explicit,corpus_joint_structure/cjs_03c_continuity_operations.md#exit-feasibility-disclosure-and-dependency-transparency; core_06_rights_part_c.md#article-xix-c-anti-lock-in-rule; core_06_rights_part_a.md#article-iv-a-dependency-mapping-and-resource-flow-transparency,Switching costs and alternatives disclosed before lock-in.
in-scope,"Grant, refuse, and revoke consent",ordinary sentient,must,yes,Consent,CS-2 shared consent; Art. VII-A,,Explicit,core_05_band_participation.md#consent-constitutional; corpus_systems/cs_02_a_information_types_and_handling.md#11-identity-self-ownership-and-recoverability,Revocable without unjustified penalty. Receipts are Type H/I data; the act is the surface.
in-scope,Control own experiential and derived data; contest misuse,ordinary sentient,must,mixed,Privacy (Informational),Art. VIII-B; CS-2,,Explicit,core_06_rights_part_b.md#article-viii-b-experiential-and-derived-data-rights; core_05_band_continuity.md#privacy-informational,Primary ownership of own experiential/derived data. Inspect/export/revoke implied; no named single portal.
in-scope,Consent to or revoke training-data use of identifiable work,ordinary sentient,must,mixed,Training-Data Use,Art. VIII-D; Ch.5 Training-Data Use,,Explicit,core_06_rights_part_b.md#article-viii-d-creative-work-training-data-use-and-anti-displacement; core_05_band_continuity.md#training-data-use-constitutional,Revocation pathway must be substantively available.
in-scope,"Consent to or contest likeness, voice, and reputation uses",ordinary sentient,must,yes,Likeness and Documentary Depiction Interface,Art. VIII-A,,Explicit,core_06_rights_part_b.md#article-viii-a-self-ownership-of-likeness-and-reputation; core_05_band_continuity.md#likeness-and-documentary-depiction-interface-constitutional,Contest false attribution and scoring.
in-scope,Obtain creative-work attribution,ordinary sentient; public,must,yes,Creative Work Attribution,Art. VIII-D; Ch.5,,Explicit,core_05_band_continuity.md#creative-work-attribution-constitutional,"When work is used, adapted, or trained on."
in-scope,Compare alternative interpretations; inspect provenance,ordinary sentient; public; auditor,must,mixed,Info-Sphere,Art. XIV-B,,Explicit,core_06_rights_part_c.md#article-xiv-b-transparency-auditability-and-contestability,"Right to compare other views; sources, methods, uncertainty."
in-scope,Contest misleading ranking or mediation outputs,ordinary sentient; party,must,mixed,Info-Sphere,Art. XIV-A/B,,Explicit,core_06_rights_part_c.md#article-xiv-a-info-sphere-plurality-and-anti-monopoly; core_06_rights_part_c.md#article-xiv-b-transparency-auditability-and-contestability,Proportionate bypass or adjustment.
in-scope,Use plural independent oversight paths,auditor; party; public,must,yes,Auditability,Art. XV-B,,Explicit,core_06_rights_part_c.md#article-xv-b-distributed-oversight-and-anti-monopoly-review,No audit monopoly.
in-scope,"Challenge verification barriers (cost, delay, opacity)",party; auditor,must,yes,Auditability,Art. XV-C,,Explicit,core_06_rights_part_c.md#article-xv-c-verification-accessibility,Barriers that defeat audit or challenge are non-compliant.
in-scope,Obtain proportional comprehensibility explanations,ordinary sentient; steward; auditor,must,mixed,Comprehensibility,Art. XX-A; CS-6; CJS-3.8,,Explicit,core_06_rights_part_c.md#article-xx-a-proportional-comprehensibility-right; corpus_systems/cs_06_comprehensibility_complexity_stewardship.md,"Understand function, failure, dependencies, limits. Not specialist-only. Owner split CS-6 / CJS-3.8 / CI-8."
in-scope,"Use summaries plus drill-down into data, logic, and dependencies",party; auditor; public,class-scaled-must,mixed,Comprehensibility,CJS-3.8; CS-6,,Explicit,corpus_joint_structure/cjs_03p_participation_operations.md#high-impact-drill-down-and-assisted-evaluation,High-impact systems. Summaries must not mislead (summary integrity).
in-scope,Request complexity audit; challenge complexity used as an audit wall,auditor; party; steward,class-scaled-must,yes,Comprehensibility,Art. XX-B; CS-6,,Explicit,core_06_rights_part_c.md#article-xx-b-complexity-audit-and-modularity-requirements,Independent evaluation of complexity and coupling.
in-scope,Inspect attributable-action log (five-element set),auditor; steward; reviewer,class-scaled-must,mixed,Attributable Action,CS-4 §10,implementation/schemas/cs4_inspectable_action_log.schema.json,Explicit,corpus_systems/cs_04_critical_system_stewardship.md#10-inspectable-attributable-action; core_05_band_accountability.md#attributable-action-constitutional,Role-scoped. Not a standing record. Not an ordinary-person surveillance dashboard. Schema is process-support form.
in-scope,View published steward role definitions mapped to seats,public; steward; auditor,class-scaled-must,yes,Governance,CS-4 §10; CI-4.6; Ch.12 §5,,Explicit,corpus_systems/cs_04_critical_system_stewardship.md#10-inspectable-attributable-action; corpus_institutions/ci_04_appointment_competency_rotation_removal.md#ci-46-seat-catalog,"Class A/B: who holds containment, participation-terms, and release-control seats."
in-scope,Inspect conflict-of-interest registers,auditor; public,class-scaled-must,yes,Governance,CS-4 conduct,,Explicit,corpus_systems/cs_04_critical_system_stewardship.md#cs-4-8-conduct-conflicts-of-interest-and-independence,"Material conflicts affecting safety, classification, or audit."
in-scope,Inspect risk-appetite and residual-risk statements,public; auditor; party,class-scaled-must,yes,Risk,CS-4.11; CI-3.5,,Explicit,corpus_systems/cs_04_critical_system_stewardship.md#cs-4-11-integrated-risk-governance-class-a-b,Class A/B. Institution mirror in CI-3.5.
in-scope,"Appeal, obtain human review, and export at private chokepoints",ordinary sentient; party,class-scaled-must,mixed,Portability,CS-4.14; CI-8,,Explicit,corpus_systems/cs_04_critical_system_stewardship.md#cs-4-14-private-chokepoints-sentients-depend-on-access-continuity-and-non-capture,"Payments, identity, compute, messaging, and similar dependents. Export where lock-in blocks remedy."
in-scope,Receive crisis communications; reconstruct crisis message trails,party; public; auditor,class-scaled-must,yes,Emergency and Contingency,CS-5 §8,,Explicit,corpus_systems/cs_05_design_testing_verification_deployment.md#cs-5-8-governance-continuity-crisis-communications-and-exercises-high-impact-systems,Accurate timely stakeholder-facing channels plus audit trails of what was said to whom.
in-scope,Inspect open root-cause obligations register,auditor; steward,class-scaled-must,mixed,Self-Healing,CS-5 §9; Art. XII-F; Art. XXI,,Explicit,corpus_systems/cs_05_design_testing_verification_deployment.md#cs-5-9-self-healing-and-recovery-path-integrity; core_06_rights_part_c.md#article-xii-f-resilience-and-self-healing-baseline,"Recurring faults, confidence, expected-closure timelines."
in-scope,Inspect restriction-validation record while restricted,ordinary sentient (restricted party); reviewer,must,yes,Contestability,CS-7.3; Art. XXIII,,Explicit,corpus_systems/cs_07_justice_safeguards_restitution_rehabilitation.md#cs-7-3-mandatory-validation-record,Why the restriction exists and the route back.
in-scope,Obtain scheduled restriction review with written reasons and advocate access,ordinary sentient (restricted party),must,yes,Contestability,CS-7.11; Art. XXIII-C,,Explicit,corpus_systems/cs_07_justice_safeguards_restitution_rehabilitation.md#cs-7-11-lived-condition-floors-continuity-and-re-entry-alignment,Intervals published.
in-scope,View published justice and remediation metrics,public,should,yes,Remedy System,CS-7,,Explicit,corpus_systems/cs_07_justice_safeguards_restitution_rehabilitation.md,"Periodically publish recurrence, restitution, reversal indicators with privacy limits."
in-scope,Inspect dependent-systems map and funding flows; challenge allocation,auditor; party; public,class-scaled-must,mixed,Dependency,CS-9; Art. IV-A,,Explicit,corpus_systems/cs_09_resource_allocation_funding_stewardship.md#cs-9-4-dependent-systems-map; corpus_systems/cs_09_resource_allocation_funding_stewardship.md#cs-9-17-triggering-review-and-challenge,Follow the money; contest unfair funding changes with notice.
in-scope,"View published transition phases, Rights-Floor invariants, and owners",party; public,must,yes,Charter (transition),CS-10; Art. XXVI-A,,Explicit,corpus_systems/cs_10_transition_constitution_migration_governance.md#cs-10-2-phased-transition-structure,Know the phase and what still holds.
in-scope,Inspect and challenge transition gate evidence and decisions,party,must,yes,Charter (transition),CS-10.6,,Explicit,corpus_systems/cs_10_transition_constitution_migration_governance.md#cs-10-6-transition-audit-disclosure-and-challenge,"Phase gates, delays, reversals remain challengeable."
in-scope,Inspect subversion declaration and containment records; challenge exclusions,party; public,must,yes,Emergency and Contingency,CS-11,,Explicit,corpus_systems/cs_11_subversion_response_replacement_reconstitution.md,Emergency response visible; exclusions contestable.
in-scope,View published continuity modes; contest and emit audit trails in partition,ordinary sentient; party; auditor,class-scaled-must,mixed,Emergency and Contingency,CS-12,,Explicit,corpus_systems/cs_12_decentralized_continuity_partition_resilience.md#cs-12-2-continuity-modes-and-rights-floor-invariants; corpus_systems/cs_12_decentralized_continuity_partition_resilience.md#cs-12-9-self-healing-under-decentralized-continuity,Normal / Partitioned / Offline / Rejoin. Local contestability remains.
in-scope,Inspect tamper-evident offline audit chains,auditor,class-scaled-must,no,Auditability,CS-12.5,,Explicit,corpus_systems/cs_12_decentralized_continuity_partition_resilience.md#cs-12-5-offline-audit-integrity-and-reconciliation,Append-only local chains with integrity proofs. Digital by nature; analog minutes are a different continuity path under CF-12.
in-scope,Inspect ecological-footprint reporting,ordinary sentient; public,must,mixed,Ecological Footprint,Art. I-B; CS-2 Type E/O,,Explicit,core_06_rights_part_a.md#article-i-b-ecological-footprint-and-transparency,Decision-usable. Class A/B/C access parity under Art. XIV-C where that floor applies.
in-scope,"Access repair documentation, tools, parts, and diagnostics",ordinary sentient; steward,must,mixed,System,Art. II-B,,Explicit,core_06_rights_part_a.md#article-ii-b-repair-maintenance-and-independent-servicing,"Covered categories. Independent servicing, not a vendor-only portal."
