layer,home,kind,types,status,cite,notes
ch5-artifact,Unified Incident Record,Combined evidence and reasoning for one Unified Incident,O; G; H; I; S,Inferred,core_05_band_accountability.md#unified-incident-record,"Operator default Type O (open band). Retype portions to G, H, or I only for justified security or privacy hold-backs under CS-2.2 most-restrictive and CS-2.7 / Part A §5.3; S where exploit- or investigation-sensitive. S when the packet holds restricted investigation or exploit-sensitive material."
ch5-artifact,Sentience-Status Adjudication Record,"Status determination file (subject, evidence, forum route, review triggers)",O; G; H; I,Inferred,core_05_band_participation.md#sentience-status-adjudication-record-constitutional,"Operator default Type O (open band). Retype portions to G, H, or I only for justified security or privacy hold-backs under CS-2.2 most-restrictive and CS-2.7 / Part A §5.3; S where exploit- or investigation-sensitive. Subject identity fields may be I."
ch5-artifact,Stakeholder Rights-Collision Record (Binding Stakeholder Choice),Rights-collision decision record,O; G; H; I,Inferred,core_05_band_participation.md#stakeholder-rights-collision-record-binding-stakeholder-choice,"Operator default Type O (open band). Retype portions to G, H, or I only for justified security or privacy hold-backs under CS-2.2 most-restrictive and CS-2.7 / Part A §5.3; S where exploit- or investigation-sensitive. Same named-record default as other constitutional decision files."
ch5-artifact,Non-Compliance Finding Profile,Optional Tetrad/aim/layer/failure-character/severity routing metadata,G,Inferred,core_05_band_accountability.md#non-compliance-finding-profile,Routing metadata attached to a finding; not a second verdict.
ch5-artifact,Public Oversight Baseline Disclosure,Public Oversight Baseline Disclosure floor,O,Explicit,core_05_band_oversight.md#public-oversight-baseline-disclosure; corpus_systems/cs_02_b_data_classifications.md#type-o-open-public-baseline-disclosure-data,Typed and handled as Type O. Type E/G source remains under original type.
ch5-artifact,Risk Disclosure,Evaluated systemic-risk communication to those who need it,O; G,Explicit,core_05_band_oversight.md#risk-disclosure; core_05_band_oversight.md#public-oversight-baseline-disclosure,Public/needed-audience baseline is Type O (topic satisfaction). Full-fidelity risk analyses are Type G examples.
ch5-category,Privacy (Informational),Personal information,I; H,Inferred,core_05_band_continuity.md#privacy-informational,I when it identifies a sentient; otherwise H. Most-restrictive wins if N reconstruction is enabled.
ch5-category,Privacy (Informational),Relational information,H,Example-covered,core_05_band_continuity.md#privacy-informational; corpus_systems/cs_02_b_data_classifications.md#84-type-h-historical-relational-transactional-and-participation-data,Type H definition covers relational/association patterns.
ch5-category,Privacy (Informational),Experiential information,H; N,Inferred,core_05_band_continuity.md#privacy-informational; core_06-06_rights_part_b.md#article-viii-b-experiential-and-derived-data-rights,Observed/participatory experience is H; reconstruction of inner states is Explicit N under Article VIII-B.
ch5-category,Privacy (Informational),Behavioral information,H; N,Inferred,core_05_band_continuity.md#privacy-informational; corpus_systems/cs_02_a_information_types_and_handling.md#cs-2-2-determination-of-classification,Logs of activity are H; outputs that approximate inner states are N.
ch5-category,Privacy (Informational),Likeness,I,Inferred,core_05_band_continuity.md#privacy-informational; core_05_band_continuity.md#likeness-and-documentary-depiction-interface-constitutional,Recognizably identifiable depiction functions as identity/attribution data.
ch5-category,Privacy (Informational),Metadata,H,Example-covered,core_05_band_continuity.md#privacy-informational; corpus_systems/cs_02_b_data_classifications.md#84-type-h-historical-relational-transactional-and-participation-data,Type H examples include communication and interaction metadata.
ch5-category,Privacy (Informational),Internal-state-adjacent information,N,Explicit,core_05_band_continuity.md#privacy-informational; core_05_band_continuity.md#protected-internal-state-boundary-constitutional,Cluster operational alignment and PISB assessment invoke Type N.
ch5-category,Protected Internal-State Boundary,"Cognitive, emotional, motivational, memory, preference, identity, volitional internal states and reconstructions",N,Explicit,core_05_band_continuity.md#protected-internal-state-boundary-constitutional; corpus_systems/cs_02_b_data_classifications.md#86-type-n-neurocognitive-and-internal-data,
ch5-category,Identity Data Protection,"Identity and attribution data (credentials, identifiers, attribution chains)",H; I,Explicit,core_05_band_continuity.md#identity-data-protection; corpus_systems/cs_02_b_data_classifications.md#85-type-i-identity-and-attribution-data,"Home names Type H, I."
ch5-category,Identity Data Protection,Identity-linked inference or reconstruction of internal states,N,Explicit,core_05_band_continuity.md#identity-data-protection,Type H/I must not be used to expose Type N without consent or CJS-3.12 override.
ch5-category,Surveillance Boundary,"Ordinary measurement, security logging, or evidence gathering that does not reconstruct internal state",H,Inferred,core_05_band_continuity.md#surveillance-boundary; corpus_systems/cs_02_b_data_classifications.md#84-type-h-historical-relational-transactional-and-participation-data,Out-of-scope ordinary logging still produces Type H operational logs.
ch5-category,Surveillance Boundary,Monitoring that reconstructs or controls protected internal state,N,Explicit,core_05_band_continuity.md#surveillance-boundary; core_05_band_continuity.md#protected-internal-state-boundary-constitutional,
ch5-category,Training-Data Use,Sentient-produced identifiable work used as training data (including pooled/aggregated covered work),H; I,Inferred,core_05_band_continuity.md#training-data-use-constitutional,H as historical/participation content; I when attributable to the producing sentient. N if it reconstructs inner states.
ch5-category,Likeness and Documentary Depiction Interface,"Recognizably identifiable likeness, voice, or synthetic depiction held out as authentic",I,Inferred,core_05_band_continuity.md#likeness-and-documentary-depiction-interface-constitutional,Identity-bearing modality. Article VIII-A home does not name a CS-2 letter.
ch5-category,Creative Work Attribution,"Authorship, ownership, and attribution records for sentient-produced work",I,Example-covered,core_05_band_continuity.md#creative-work-attribution-constitutional; corpus_systems/cs_02_b_data_classifications.md#85-type-i-identity-and-attribution-data,"Type I examples include authorship, ownership, and action-attribution records."
ch5-category,Protected Data and Internal-State Publication Constraint,Restricted data and protected internal-state content at publication,N,Explicit,core_05_band_oversight.md#protected-data-and-internal-state-publication-constraint,Assessment names Type N handling; other restricted types follow CS-2 most-restrictive.
ch5-category,Security-Sensitive Disclosure Balance,Exploit-enabling or high-risk security detail (deferred),S,Explicit,core_05_band_oversight.md#security-sensitive-disclosure-balance,Then Type O summaries after justification ends.
ch5-category,Security-Sensitive Disclosure Balance,Post-mitigation public summary of deferred security detail,O,Explicit,core_05_band_oversight.md#security-sensitive-disclosure-balance,
ch5-category,High-Impact and Systemic Harm Publication Constraint,"Publication whose disclosure would enable targeted harm, exploitation, or safeguard evasion",S,Inferred,core_05_band_oversight.md#high-impact-and-systemic-harm-publication-constraint; corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,Functional overlap with Type S; home does not name the letter.
ch5-category,Protected Intimate-Signal Gating,"Intimate media, sexual-history signals, comparable intimate-status inferences",I; N,Inferred,core_05_band_participation.md#protected-intimate-signal-gating-and-article-x-c-status-circumvention,I as identity-sensitive private records; N where they reconstruct inner/intimate states. Most-restrictive wins.
ch5-category,Consent,Consent receipts and revocation events,H,Example-covered,core_05_band_participation.md#consent-constitutional; corpus_systems/cs_02_b_data_classifications.md#84-type-h-historical-relational-transactional-and-participation-data,
ch5-category,Consent,Identity-sensitive participation and consent records,I,Example-covered,core_05_band_participation.md#consent-constitutional; corpus_systems/cs_02_b_data_classifications.md#85-type-i-identity-and-attribution-data,Where the record itself binds to a sentient's identity.
ch5-category,"Consent, Sexual",Sexual-consent documentation,I; N,Inferred,core_05_band_participation.md#consent-sexual,Identity-sensitive and intimate; most-restrictive N if it reconstructs protected states.
ch5-category,Instantiation Consent,Instantiation-consent documentation,H; I,Inferred,core_05_band_participation.md#instantiation-consent-constitutional,
ch5-category,Ecological Footprint,"Attributable energy, materials, emissions, land-use, and related burden data",E,Example-covered,core_05_band_continuity.md#ecological-footprint; corpus_systems/cs_02_b_data_classifications.md#81-type-e-environmental-emergency-and-survival-coordination-data,Published baseline artifacts drawn from it are Type O.
ch5-category,Environmental Preconditions,Biophysical condition data needed for survival and wellbeing,E,Example-covered,core_05_band_continuity.md#environmental-preconditions-constitutional; corpus_systems/cs_02_b_data_classifications.md#81-type-e-environmental-emergency-and-survival-coordination-data,
ch5-category,Emergency and Contingency,Emergency condition and hazard coordination streams,E,Example-covered,core_05_band_continuity.md#emergency-and-contingency-constitutional; corpus_systems/cs_02_b_data_classifications.md#81-type-e-environmental-emergency-and-survival-coordination-data,
ch5-category,Emergency and Contingency,Published emergency notices at public-baseline fidelity,O,Example-covered,corpus_systems/cs_02_b_data_classifications.md#type-o-open-public-baseline-disclosure-data,
ch5-category,Evidence Preservation,Preserved records,G,Inferred,core_05_band_oversight.md#evidence-preservation,Typed by functional content; governance/case records default G.
ch5-category,Evidence Preservation,Preserved artifacts (physical or digital exhibits),G,Inferred,core_05_band_oversight.md#evidence-preservation,May also be S when restricted evidence.
ch5-category,Evidence Preservation,Preserved logs,H; G,Example-covered,core_05_band_oversight.md#evidence-preservation; corpus_systems/cs_02_b_data_classifications.md#84-type-h-historical-relational-transactional-and-participation-data,Operational/activity logs are Type H examples; audit-trail workpapers are Type G examples.
ch5-category,Evidence Preservation,Provenance data,G; I,Inferred,core_05_band_oversight.md#evidence-preservation,
ch5-category,Evidence Preservation,Testimony,G; I,Inferred,core_05_band_oversight.md#evidence-preservation,
ch5-category,Evidence Preservation,System states,G,Inferred,core_05_band_oversight.md#evidence-preservation,"May be E if survival-coordination telemetry, S if exploit-sensitive configuration."
ch5-category,Evidence Preservation,Custody information,G; I,Inferred,core_05_band_oversight.md#evidence-preservation,
ch5-category,Evidence Preservation,Exculpatory or mitigating material,G,Inferred,core_05_band_oversight.md#evidence-preservation,
ch5-category,Protected Reporting (Whistleblowing),Protected reports and reporter-identifying material,G; I; S,Inferred,core_05_band_accountability.md#protected-reporting-whistleblowing,S while disclosure would create targeting risk; G as audit source; I for reporter identity.
ch5-category,Verified Inputs for Standing,Verified contribution records and verified violation findings used as standing inputs,O; G; H; I,Inferred,core_05_band_accountability.md#verified-inputs-for-standing,"Operator default Type O (open band). Retype portions to G, H, or I only for justified security or privacy hold-backs under CS-2.2 most-restrictive and CS-2.7 / Part A §5.3; S where exploit- or investigation-sensitive. Same packet as the axis-pure Standing Record basis."
ch5-category,Transparency,Public baseline transparency disclosures,O,Explicit,core_05_band_oversight.md#transparency,Read-with names Type O.
ch5-category,Protected Characteristics,Stored protected-characteristic attributes about a sentient,I,Inferred,core_05_band_participation.md#protected-characteristics-constitutional,Identifies or classifies a sentient. Intimate-characteristic inferences may also be N.
ch5-category,Competency Clearance,Competency-clearance status records,G; I,Inferred,core_05_band_accountability.md#competency-clearance,Definition is a status; the durable file is governance source plus subject identity.
ch5-category,Standing Lock,Standing-lock status records,G; I,Inferred,core_05_band_accountability.md#standing-lock,
ch5-category,Attributable Action,"Reconstructable action traces (who acted, under what authority, with what effect)",G; I; H,Inferred,core_05_band_accountability.md#attributable-action-constitutional; corpus_systems/cs_04_critical_system_stewardship.md#10-inspectable-attributable-action,CS-4 inspectable-action log is the systems-layer artifact. Type N internals are not required as the standing record.
ch5-category,Attribution Integrity,Identity fields and logs relied on for attribution integrity,I; H; G,Inferred,core_05_band_accountability.md#attribution-integrity-constitutional,Nominal identity fields/logs are called out; typing follows CS-2.2.
cs2-example,CS-2 Part B,"Ecological and environmental condition data (air, water, soil, climate, biodiversity, contamination)",E,Example-covered,corpus_systems/cs_02_b_data_classifications.md#81-type-e-environmental-emergency-and-survival-coordination-data,
cs2-example,CS-2 Part B,Infrastructure health and failure-state data for survival-critical systems,E,Example-covered,corpus_systems/cs_02_b_data_classifications.md#81-type-e-environmental-emergency-and-survival-coordination-data,
cs2-example,CS-2 Part B,"Resource availability (food, water, shelter, energy, processing continuity, communication access)",E,Example-covered,corpus_systems/cs_02_b_data_classifications.md#81-type-e-environmental-emergency-and-survival-coordination-data,
cs2-example,CS-2 Part B,"System health, reliability, and degradation data for critical shared infrastructure",E,Example-covered,corpus_systems/cs_02_b_data_classifications.md#81-type-e-environmental-emergency-and-survival-coordination-data,
cs2-example,CS-2 Part B,Where environmental harm comes from and how heavy its load is,E,Example-covered,corpus_systems/cs_02_b_data_classifications.md#81-type-e-environmental-emergency-and-survival-coordination-data,
cs2-example,CS-2 Part B,"Internal governance records, working procedural materials, non-public classification or policy working papers",G,Example-covered,corpus_systems/cs_02_b_data_classifications.md#82-type-g-governance-and-operational-source-data,
cs2-example,CS-2 Part B,"Full deliberation, voting, quorum, and decision records beyond Type O publication",G,Example-covered,corpus_systems/cs_02_b_data_classifications.md#82-type-g-governance-and-operational-source-data,
cs2-example,CS-2 Part B,"Detailed audit trails, compliance workpapers, and forensic reconstruction materials",G,Example-covered,corpus_systems/cs_02_b_data_classifications.md#82-type-g-governance-and-operational-source-data,
cs2-example,CS-2 Part B,"Operational telemetry, configuration, methodology, evaluation criteria, and assumption records at source fidelity",G,Example-covered,corpus_systems/cs_02_b_data_classifications.md#82-type-g-governance-and-operational-source-data,
cs2-example,CS-2 Part B,"Full-fidelity risk, dependency, and system-impact analyses",G,Example-covered,corpus_systems/cs_02_b_data_classifications.md#82-type-g-governance-and-operational-source-data,
cs2-example,CS-2 Part B,"Challenge, review, and corrective-action source dockets not released as Type O",G,Example-covered,corpus_systems/cs_02_b_data_classifications.md#82-type-g-governance-and-operational-source-data,
cs2-example,CS-2 Part B,Published procedural rules and disclosed assumptions at public-baseline fidelity,O,Example-covered,corpus_systems/cs_02_b_data_classifications.md#type-o-open-public-baseline-disclosure-data,
cs2-example,CS-2 Part B,"Aggregated, de-identified, summary, or delayed public substitutes for restricted source",O,Example-covered,corpus_systems/cs_02_b_data_classifications.md#type-o-open-public-baseline-disclosure-data,
cs2-example,CS-2 Part B,Public eligibility rules and routing for qualified audit access to Type G or other non-public source,O,Example-covered,corpus_systems/cs_02_b_data_classifications.md#type-o-open-public-baseline-disclosure-data,
cs2-example,CS-2 Part B,"Versioned public change notices, operational status, performance, failure, stakeholder-effect, and material-risk summaries",O,Example-covered,corpus_systems/cs_02_b_data_classifications.md#type-o-open-public-baseline-disclosure-data,
cs2-example,CS-2 Part B,Transaction and transfer records,H,Example-covered,corpus_systems/cs_02_b_data_classifications.md#84-type-h-historical-relational-transactional-and-participation-data,
cs2-example,CS-2 Part B,System access and usage events,H,Example-covered,corpus_systems/cs_02_b_data_classifications.md#84-type-h-historical-relational-transactional-and-participation-data,
cs2-example,CS-2 Part B,"Participation records in governance, platforms, or service systems",H,Example-covered,corpus_systems/cs_02_b_data_classifications.md#84-type-h-historical-relational-transactional-and-participation-data,
cs2-example,CS-2 Part B,Dependency and interoperability events,H,Example-covered,corpus_systems/cs_02_b_data_classifications.md#84-type-h-historical-relational-transactional-and-participation-data,
cs2-example,CS-2 Part B,Resource usage records not already Type I or Type H,H,Example-covered,corpus_systems/cs_02_b_data_classifications.md#84-type-h-historical-relational-transactional-and-participation-data,
cs2-example,CS-2 Part B,"Identity credentials, keys, signatures, or equivalent verification mechanisms",I,Example-covered,corpus_systems/cs_02_b_data_classifications.md#85-type-i-identity-and-attribution-data,
cs2-example,CS-2 Part B,Identifiers (persistent or contextual) and system-level identifiers linking actions to agents or sentients,I,Example-covered,corpus_systems/cs_02_b_data_classifications.md#85-type-i-identity-and-attribution-data,
cs2-example,CS-2 Part B,Persistent pseudonyms when they function as identity in a health or wellbeing context,I,Example-covered,corpus_systems/cs_02_b_data_classifications.md#85-type-i-identity-and-attribution-data,
cs2-example,CS-2 Part B,"Personal health, clinical, wellness, and genomic records when they identify a sentient",I,Example-covered,corpus_systems/cs_02_b_data_classifications.md#85-type-i-identity-and-attribution-data,
cs2-example,CS-2 Part B,Biometric or substrate-linked health measurements under the identify-a-sentient test,I; N,Example-covered,corpus_systems/cs_02_b_data_classifications.md#85-type-i-identity-and-attribution-data,
cs2-example,CS-2 Part B,Sensitive financial or similar private records when they identify a sentient,I,Example-covered,corpus_systems/cs_02_b_data_classifications.md#85-type-i-identity-and-attribution-data,
cs2-example,CS-2 Part B,"Thoughts, intentions, and beliefs",N,Example-covered,corpus_systems/cs_02_b_data_classifications.md#86-type-n-neurocognitive-and-internal-data,
cs2-example,CS-2 Part B,Subjective experiences and internal perception,N,Example-covered,corpus_systems/cs_02_b_data_classifications.md#86-type-n-neurocognitive-and-internal-data,
cs2-example,CS-2 Part B,Private cognitive processes and internal memory,N,Example-covered,corpus_systems/cs_02_b_data_classifications.md#86-type-n-neurocognitive-and-internal-data,
cs2-example,CS-2 Part B,Non-public emotional or psychological states,N,Example-covered,corpus_systems/cs_02_b_data_classifications.md#86-type-n-neurocognitive-and-internal-data,
cs2-example,CS-2 Part B,Physical or behavioral data that could reconstruct or infer internal states,N,Example-covered,corpus_systems/cs_02_b_data_classifications.md#86-type-n-neurocognitive-and-internal-data,
cs2-example,CS-2 Part B,"Derived inferences about beliefs, intent, or cognition",N,Example-covered,corpus_systems/cs_02_a_information_types_and_handling.md#cs-2-6-data-separation-and-attribution,
cs2-example,CS-2 Part B,"Security vulnerabilities, exploit pathways, and weaknesses",S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
cs2-example,CS-2 Part B,Sensitive topology or configuration enabling targeting or compromise,S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
cs2-example,CS-2 Part B,"De-anonymization, identity recovery, or privileged-access mechanisms whose disclosure would create material risk",S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
cs2-example,CS-2 Part B,"Operational secrets, containment credentials, intervention-control or cryptographic material used for containment",S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
cs2-example,CS-2 Part B,Temporary unpatched-exploit and emergent-threat handling materials,S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
cs2-example,CS-2 Part B,Abuse detection and prevention methods where disclosure would enable evasion,S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
cs2-example,CS-2 Part B,"Detection signatures, thresholds, scoring models, and monitoring rules where disclosure would enable evasion",S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
cs2-example,CS-2 Part B,"Adversary tooling, technique, and targeting records",S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
cs2-example,CS-2 Part B,Incident response procedures where disclosure would reduce effectiveness during active threats,S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
cs2-example,CS-2 Part B,Emergency containment and response coordination during active incidents,S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
cs2-example,CS-2 Part B,"Active investigation data on safety, fraud, integrity, or harm prevention",S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
cs2-example,CS-2 Part B,"Protected-party, witness, or at-risk location and contact data during justified investigations",S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
cs2-example,CS-2 Part B,Restricted evidence from justified investigative processes,S,Example-covered,corpus_systems/cs_02_b_data_classifications.md#87-type-s-safety-security-and-restricted-investigation-data,
rights-floor,Article VII-B,Outputs that functionally approximate internal cognitive or emotional states,N,Explicit,core_06-06_rights_part_b.md#article-vii-b-internal-state-boundary-and-type-n-protection,
rights-floor,Article VIII-A,"Recognizably identifiable likeness, voice, and reputation-bearing depictions",I,Inferred,core_06-06_rights_part_b.md#article-viii-a-self-ownership-of-likeness-and-reputation,Article names CS-2 generally; does not assign a letter to likeness as a kind.
rights-floor,Article VIII-B,A sentient's own experiential and interaction-derived data,H; N,Inferred,core_06-06_rights_part_b.md#article-viii-b-experiential-and-derived-data-rights,Must follow CS-2; reconstruction of another sentient's inner states is Explicit N.
rights-floor,Article VIII-D,Creative work used as training data,H; I,Inferred,core_06-06_rights_part_b.md#article-viii-d-creative-work-training-data-use-and-anti-displacement,Same mapping as Chapter Five Training-Data Use.
rights-floor,Article I-B,Ecological-footprint disclosure data,E; O,Example-covered,core_06-06_rights_part_a.md#article-i-b-ecological-footprint-and-transparency,Underlying streams Type E; published baseline Type O.
companion,CJS-3.3 / CJS-3.4,"Audit-process findings, reports, and eligibility rules for deeper access",O; G,Explicit,corpus_joint_structure/cjs_03u_audit_process.md#cjs-33-audit-process-home; corpus_systems/cs_02_a_information_types_and_handling.md#53-tiered-transparency-and-audit-access,"Type O where feasible, then qualified Type G; forensic or more-restricted tiers only as justified."
companion,CS-4 §10,Inspectable attributable-action log (five-element set),G; I; H,Inferred,corpus_systems/cs_04_critical_system_stewardship.md#10-inspectable-attributable-action,Default mixed-crew logging contract. Not a Standing Record.
companion,CS-4 §10,"Model weights, private deliberation, protected internal states (not required as standing record)",N,Explicit,corpus_systems/cs_04_critical_system_stewardship.md#10-inspectable-attributable-action,Explicitly Type N / Article VII-B; residual rule if internals are the only attribution path.
companion,CF-15.1,filing intake and routing decision,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,panel-formation record,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,member disclosure record,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,recusal notice,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,recusal challenge and decision,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,substitute-selection record,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,inability-to-form independent panel finding,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,backup-forum activation order,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,transfer or certification order,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,interim-relief order,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,rights-collision record under CF-6,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,disposition-effect category and class-label record under CF-6.1,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,forensic or analytical support scope order under CF-8,G; I; S,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,restricted-evidence review order,G; I; S,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,"investigative scope, referral, or closure record under CF-9",G; I; S,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,"technical-standard departure, variance, or recognition record under CF-10",G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
companion,CF-15.1,backlog-threshold remediation record under CF-11,G; I,Inferred,corpus_forum/cf_15_standard_records_forms_evidence_artifacts.md#cf-151-minimum-record-set,Forum governance source plus affected-party identity. Public-facing tag is Type O; restricted/sealed may be S.
