article_id,title,family,file,line,direct_ch1_refs,inferred_ch1_basis,tetrad_terms,aims,material_signals,measurement_families,ch5_refs,odef_refs,owner_refs,status
II-E,"Info-Sphere Dependency, Continuity, and Operator Non-Viability",survival/resources,core_06_rights_part_a.md,573,3.1; 6.1; 12.6; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,oversight; accountability,continuity,materiality,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Truth / Epistemic Integrity; Privacy / Data Stewardship; Market Structure / Contestability,Dependency; Intergenerational Responsibility; Materiality Determination; Necessity; Negligence,CJS-3.17; CJS-3.18,Article I-C; Article II; Article XIX-A; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_06_rights_part_c.md; core_08_a_system_alignment_certification_evaluation.md; core_10_standing_integration.md; corpus_systems.md,complete
III,Survival and Equal Educational Access,survival/resources,core_06_rights_part_a.md,634,2; 3.1; 6; 9; linked,2; 3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Educational Agency,,,Article I; Article II; Article III; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md,complete
III-A,Survival,survival/resources,core_06_rights_part_a.md,657,2; 3.1; 5; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Market Structure / Contestability; Timely Resolution,"**§3.7** *Bodily-Maintenance Access, Safe Conditions, Occupancy Continuity, Environmental Preconditions, Cultural Continuity, Rest, and Anti-Displacement Floor*; *Essential-Environment Non-Commodification*; *Occupancy Continuity*; Dependency; Essential-Environment Non-Commodification; Info-Sphere; Meaningful Agency; Necessity; Procedural Fairness; Proportionality; Safety (Constraint); System Alignment Certification; Wellbeing",,Article XII-B; Article XVIII-B; Article XXIV-C; Article XXVI-D; Chapter Eight; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
III-B,Equal Educational Access,survival/resources,core_06_rights_part_a.md,709,2; 3.2; 5; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8,participation; accountability,,,Wellbeing; Safety / Harm / Risk; Productive Capacity; Ecological Footprint / Environmental Preconditions; Substantive Fairness; Accessibility; Educational Agency; Truth / Epistemic Integrity,Accessibility; Educational Agency; Necessity; Proportionality; Protected Characteristics; Substantive Fairness,,Article VI; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05_band_accountability.md; core_05_band_participation.md,complete
III-C,Bodily-Maintenance and Healthcare Access,survival/resources,core_06_rights_part_a.md,746,2; 5; 5.1; linked,2; 3.1; 5; 5.1; 6.1; 6.1.5; 6.3; 7; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Ecological Footprint / Environmental Preconditions; Substantive Fairness,"Bodily-Maintenance Access; Necessity; Proportionality; Protected Characteristics; Sentience Non-Exclusion; Substantive Fairness; §3.7 *Bodily-Maintenance Access, Safe Conditions, Occupancy Continuity, Environmental Preconditions, Cultural Continuity, Rest, and Anti-Displacement Floor*",,Article III-A; Article V-A; Article V-B; Article VII-A; Article VII-B; Article VII-C; Article XXIII; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_participation.md; corpus_institutions.md,complete
III-D,Labor and Economic Floor,survival/resources,core_06_rights_part_a.md,794,2; 5; 5.1; 12.1.3; 14; linked,2; 3.1; 4; 5; 5.1; 6.1; 6.1.5; 6.3; 7; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability,continuity,,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Dependency / Resource Flow; Substantive Fairness; Educational Agency; Trustworthiness; Market Structure / Contestability,"Adversarial, Scaled, and Exploited Conditions; Anti-Displacement Floor; Business Creation; Chapter Five *Assembly, collective organization, and institutional formation*; Collective Organization; Fair Compensation; Indigenous Continuity; Language, Culture, and Heritage; Leisure and Rest; Meaningful Agency; Necessity; Proportionality; Protected Characteristic Proxying and Disparate Impact; Protected Characteristics; Safe Conditions; Sentience Non-Exclusion; Substantive Fairness; §3.7 *Bodily-Maintenance Access, Safe Conditions, Occupancy Continuity, Environmental Preconditions, Cultural Continuity, Rest, and Anti-Displacement Floor*",CJS-3.11; cjs_03a_accountability_operations.md#cjs-3112-anti-domination-conduct-and-remediation-catalog,Article III-A; Article III-B; Article IX-A; Article IX-B; Article V-A; Article V-B; Article XII-A; Article XIII-A; Article XVIII; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md; corpus_institutions.md; corpus_systems.md,complete
IV,"Resource Allocation, Dependencies, and Ecosystem Funding",survival/resources,core_06_rights_part_a.md,868,2; 3.1; 8; 12; 13; linked,2; 3.1; 3.2; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Proportionate Cross-System Support; Incentive Alignment / Proxy Integrity,System Alignment Certification,,Article IV; Article IV-A; Article IV-B; Chapter Eight; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_08_a_system_alignment_certification_evaluation.md,complete
IV-A,Dependency Mapping and Resource-Flow Transparency,survival/resources,core_06_rights_part_a.md,906,3.2; 11; linked,3.2; 6.2; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight,flourishing; continuity,,Wellbeing; Productive Capacity; Resilience / Systemic Risk; Dependency / Resource Flow; Proportionate Cross-System Support; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity,Dependency; System Alignment Certification; System Boundary Integrity; System Certification Record; Transparency,,Article IV-A; Article XV-A; Chapter Eight; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_continuity.md; core_05_band_oversight.md; core_08_a_system_alignment_certification_evaluation.md; corpus_systems.md,complete
IV-B,Cross-System Fairness and Sustainability,survival/resources,core_06_rights_part_a.md,938,2; 6.1; 14; 14.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,materiality,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Proportionate Cross-System Support; Substantive Fairness; Market Structure / Contestability; Timely Resolution,"*Governance Architecture, Oversight, Dependency, Decentralization, Concentration, Market Structure, and Exit-Path Integrity*; Dependency; Ecological Footprint; Market Concentration Threshold; Materiality Determination; Proportionality; Proportionate Cross-System Contribution; Substantive Fairness; System Alignment Certification",,Article IV-A; Article IV-B; Article XXIV-C; Chapter Eight; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md; core_06_rights_part_b.md](core_06_rights_part_b.md; core_08_a_system_alignment_certification_evaluation.md; core_09-12_application_vignettes.md](core_09-12_application_vignettes.md; corpus_systems.md,complete
V,Equal Basic Rights,equality/access,core_06_rights_part_b.md,109,2; 2.1; 5; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8,accountability,continuity,materiality,Wellbeing; Avoidable Burden; Substantive Fairness; Accessibility; Market Structure / Contestability,System Alignment Certification,,Article V; Article V-B; Article V-G; Article XVIII-B; Chapter Eight; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_08_a_system_alignment_certification_evaluation.md,complete
V-A,Dignity and Equal Moral Standing,equality/access,core_06_rights_part_b.md,128,2; 5; 7; linked,2; 3.1; 5; 5.1; 7; 8,participation,continuity,,Wellbeing; Productive Capacity; Substantive Fairness; Market Structure / Contestability,"**Def.P1** *Animal Life, Sentient Life, and Sentience Status*; Dignity and Equal Moral Standing; Protected Characteristics; Sentience Non-Exclusion; Sentient; Substrate Class; Wellbeing; substrate-agnostic",,Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_participation.md,complete
V-B,Nondiscrimination,equality/access,core_06_rights_part_b.md,156,2.1; 5; 6.1; 6.1.5; linked,3.1; 5; 5.1; 6.1; 6.1.5; 6.3; 7; 8,participation; accountability,continuity,,Safety / Harm / Risk; Constitutional Efficiency; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Substantive Fairness; Accessibility,"Indigenous Continuity; Language, Culture, and Heritage; Necessity; Proportionality; Protected Characteristics; Sentience Non-Exclusion; Substantive Fairness",,Article I-A; Article V-B; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md,complete
V-C,Full Inclusion and Equality in Adjudication and Operations,equality/access,core_06_rights_part_b.md,206,3.1; 5; 6.1.5; linked,2; 3.1; 5; 5.1; 6.1; 6.1.5; 6.3; 7; 8; 10; 10.1,participation; accountability,,,Safety / Harm / Risk; Survival-floor access; Constitutional Efficiency; Avoidable Burden; Substantive Fairness; Market Structure / Contestability,Contestability; Procedural Fairness; Protected Characteristics; Redress and Remediation; Substantive Fairness,,Article V-A; Article V-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_participation.md,complete
V-D,"Freedom of conscience, religion, and comparable worldview",equality/access,core_06_rights_part_b.md,240,5; 6.1; 6.1.5; linked,3.1; 5; 5.1; 6.1; 6.1.5; 6.3; 7; 8; 10; 10.1,participation; accountability,,,Safety / Harm / Risk; Avoidable Burden; Ecological Footprint / Environmental Preconditions; Substantive Fairness; Accessibility,Necessity; Non-Imposition (Cooperative Interaction); Proportionality; Protected Characteristics; Substantive Fairness,,Article V-B; Article X-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_participation.md,complete
V-E,Sentience-Status Adjudication Floor,equality/access,core_06_rights_part_b.md,284,3.2; 6.1; 6.1.3; linked,2; 3.1; 3.2; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1,participation; accountability,continuity,,Avoidable Burden; Resilience / Systemic Risk; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity; Market Structure / Contestability; Timely Resolution,"**Def.P1**; Contestability; Dignity and Equal Moral Standing; Forum Family, Technical; Necessity; Procedural Fairness; Proportionality; Redress and Remediation; Reversibility; Sentience Non-Exclusion; Sentience Status Adjudication; sentient",,Article V-A; Article VII-B; Article XII-E; Article XIII-A; Article XVIII-A; Article XXII; Article XXVI-A; Article XXVI-D; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_participation.md; core_06_rights_part_c.md; core_12_forum.md,complete
V-F,"Developing Sentients, Best-Interest, and Graduated Capability",equality/access,core_06_rights_part_b.md,353,3.2; 5; 5.1; 6.1.3; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability,,,Safety / Harm / Risk; Productive Capacity; Resilience / Systemic Risk; Substantive Fairness; Truth / Epistemic Integrity; Market Structure / Contestability,"*Def.P4 Developing Sentient, Best-Interest Standard, and Graduated Capability*; *Derived and Developing Sentients, Instantiation, and Care Authority*; Auditability; Best-Interest Standard; Contestability; Developing Sentient; Graduated Capability; Necessity; Procedural Fairness; Proportionality; Redress and Remediation",,Article V-A; Article V-B; Article V-E; Article V-F; Article VII; Article VII-A; Article VII-B; Article VII-D; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_oversight.md; core_05_band_participation.md; core_13_governance.md,complete
V-G,Accessibility,equality/access,core_06_rights_part_b.md,421,2; 3.4; 5; 5.1; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation,continuity,materiality,Wellbeing; Survival-floor access; Avoidable Burden; Productive Capacity; Dependency / Resource Flow; Substantive Fairness; Accessibility; Educational Agency; Truth / Epistemic Integrity,Accessibility; Dependency; Protected Characteristic Proxying and Disparate Impact; Protected Characteristics; Sentience Non-Exclusion; Substantive Fairness,,Article III-A; Article III-B; Article III-C; Article IX-C; Article V-A; Article V-B; Article V-C; Article V-H; Article XI; Article XV; Chapter Eight; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05_band_continuity.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md; corpus_institutions.md,complete
V-H,"Expression, Assembly, and Press",equality/access,core_06_rights_part_b.md,487,3.2; 5; 5.1; 6.1.1; 6.2.1; linked,2; 3.1; 3.2; 4; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 11; 12; 13,participation; oversight; accountability,continuity,,Safety / Harm / Risk; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Substantive Fairness; Educational Agency; Truth / Epistemic Integrity,"Assembly; Chapter Five *Assembly, Collective Organization, and Institutional Formation*; Consent, Sexual; Cruelty; Expression; Harassment and Bullying; Necessity; Press and Journalistic Activity; Proportionality; Protected Characteristics; Psychological Harm; Safety (Constraint); §3.8 *Self-Determination, Meaningful Agency, Expression, Educational Agency, and Volitional Integrity*",,Article IX-A; Article V-A; Article V-B; Article V-D; Article V-F; Article V-H; Article VII-A; Article VIII-C; Article X-A; Article X-C; Article XI; Article XIII-A; Article XIV; Article XV-A; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_oversight.md; core_05_band_participation.md,complete
VI,Right to Sentient-Centered Education,equality/access,core_06_rights_part_b.md,553,2; 3.4; 5; 8; linked,2; 3.1; 3.2; 5; 5.1; 6.2; 7; 8; 9; 9.2,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Survival-floor access; Avoidable Burden; Productive Capacity; Substantive Fairness; Accessibility; Educational Agency,Educational Agency; Meaningful Agency; Protected Characteristics; Self-Determination,,Article III; Article VI; Chapter Five; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_participation.md,complete
VI-A,Capability-Building Education Right,equality/access,core_06_rights_part_b.md,595,2; 5; linked,2; 3.1; 5; 5.1; 11; 12; 13,participation,continuity,,Wellbeing; Productive Capacity; Educational Agency,Dignity and Equal Moral Standing; Educational Agency; Meaningful Agency; Self-Determination; Wellbeing,,Chapter Eight; Chapter One; core_01_a_values_principles.md; core_05_band_continuity.md; core_05_band_participation.md; core_08_a_system_alignment_certification_evaluation.md,complete
VI-B,Lifelong and Adaptive Learning and Contestability,equality/access,core_06_rights_part_b.md,624,3.2; 5; 11; linked,3.2; 5; 5.1; 6.2; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability,,,Productive Capacity; Accessibility; Educational Agency; Truth / Epistemic Integrity; Market Structure / Contestability,Auditability; Coercion and Manipulation; Contestability; Educational Agency; Meaningful Agency; Transparency,,Chapter One; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md; core_05_band_accountability.md; core_05_band_oversight.md; core_05_band_participation.md,complete
VII,Self-Ownership,equality/access,core_06_rights_part_b.md,658,2; 3.1; 5; 11; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; oversight; accountability; timeliness,flourishing; continuity,material stake,Wellbeing; Safety / Harm / Risk; Survival-floor access; Avoidable Burden; Productive Capacity; Truth / Epistemic Integrity; Incentive Alignment / Proxy Integrity,,,Article VII; Article VIII; Chapter One; core_00_preamble.md; core_01_a_values_principles.md; core_01_c_stewardship_capacity_principles.md,complete
VII-A,Self-Ownership of Body and Mind,equality/access,core_06_rights_part_b.md,688,5; 5.1; 6.1.5; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 10; 10.1,participation,continuity,,Survival-floor access; Avoidable Burden; Truth / Epistemic Integrity; Privacy / Data Stewardship; Incentive Alignment / Proxy Integrity,Consent; Dignity and Equal Moral Standing; Meaningful Agency; Privacy (Informational); Reproductive Autonomy; Self-Determination,,Article III-C; Article VII-B; Article VII-C; Article VII-D; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_continuity.md; core_05_band_participation.md; corpus_systems.md,complete
VII-B,Internal-State Boundary and Type-N Protection,equality/access,core_06_rights_part_b.md,726,3.2; 5; 5.1; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8,participation; accountability,continuity,,Truth / Epistemic Integrity; Privacy / Data Stewardship; Trustworthiness,Consent; Necessity; Privacy (Informational); Proportionality; Protected Internal-State Boundary,,Article VII-A; Article VII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_participation.md; corpus_systems.md,complete
VII-C,Mental-Health Crisis and Involuntary-Intervention Floor,equality/access,core_06_rights_part_b.md,761,5; 5.1; 6.1.3; linked,3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8,participation; accountability,continuity,,Survival-floor access; Avoidable Burden; Productive Capacity; Resilience / Systemic Risk; Trustworthiness,Best-Interest Standard; Bodily-Maintenance Access; Graduated Capability; Procedural Fairness; Redress and Remediation; Reversibility,,Article III-C; Article V-F; Article VII-A; Article VII-B; Article VII-D; Article XXIII; Article XXIII-B; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_participation.md; corpus_systems.md,complete
VII-D,"Family, Care Relationships, Reproductive Autonomy, and Non-Separation",equality/access,core_06_rights_part_b.md,807,3.2; 5; 5.1; 14; linked,2; 3.1; 3.2; 5; 5.1; 6.1; 6.1.5; 6.2; 6.3; 7; 8; 9; 9.2; 10; 10.1; 11; 12; 13,participation; accountability,continuity,,Safety / Harm / Risk; Constitutional Efficiency; Avoidable Burden; Productive Capacity; Ecological Footprint / Environmental Preconditions; Resilience / Systemic Risk; Dependency / Resource Flow; Substantive Fairness; Truth / Epistemic Integrity; Market Structure / Contestability,"**Def.P4** *Developing Sentient, Best-Interest Standard, and Graduated Capability*; *Derivation, Instantiation, and the Parent-System Relationship*; Derived Sentient; Family and Care Relationships; Family, care, reproductive autonomy, and instantiation; Instantiation Consent; Necessity; Non-Separation; Parent-System Relationship; Procedural Fairness; Proportionality; Redress and Remediation; Reproductive Autonomy; Sentience Non-Exclusion; stewardship",,Article V-A; Article V-B; Article V-E; Article V-F; Article VII-A; Article VII-B; Article VII-D; Article X-A; Article XII-E; Article XII-F; Chapter Five; Chapter One; core_01_a_values_principles.md; core_01_b_interaction_interpretation.md; core_05_band_accountability.md; core_05_band_continuity.md; core_05_band_participation.md,complete
